"","x"
"1","@ss8ToutLesnews @MyriamOr8 @NanaPOUCAVE mais allez toi je t'emmène au Resto en zappé le telho reste tranquille t'es sur tn clavier"
"2","RT @NRJhitmusiconly: Le NRJ Music Tour Vendée débarque le 5 mars à La Roche Sur Yon avec toutes vos stars préférées ! #NMTVendee https://t.…"
"3","RT @TheDivisionFR: Troisième participant : le superbe @terracid qui a un message pour vous : ""lol jpp"". #TheDivisionLive @WankilStudio http…"
"4","RT @ISLAMOO_92: CHEPA ELLE CHERCHE KOI CET PUTE J'LAPELLE JTOMBE SUR LE RÉPONDEUR DE MEDITEL https://t.co/GDcK4kydbl"
"5","J'ai mon concours IFSI à Reims le premier jour de mon bac blanc <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>"
"6","@Anonym1303 heu les con je prend les lopettes sont pas dans le même parti mdrrrr"
"7","L'Abracadabar diffusera sur grand écran le Nintendo Direct ! Attention, le bar n'ouvre pas avant 19h et ferme à 0h00 https://t.co/4R3ZINjeRc"
"8","RT @_Le_Cancer: Le #Cancer reste toujours extrêmement fidèle à ses amis."
"9","L'orage il était juste au dessus de ma maison le voyou"
"10","mais ptdr le prix des fringues :("
"11","@Antoine_Objs ah ah le tas de feuilles <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> l'équivalent d'un chapitre dans une de mes grosses matières et encore!"
"12","Je le soutien 100% https://t.co/uQi46s7cPf"
"13","Les flocons ils sont balz comme le chat de wande"
"14","Critiquer pas le temps mes amis ..."
"15","RT @emitelsap: J'ai l'apparence d'une personne calme mais si j'explose même le diable se cache"
"16","@Niklesfdp @taxi_zen oui ce exact!surtout a 3 ou 4 ans ca commence tot le djihad!"
"17","RT @bleulivide: Le café+clope un lendemain de soirée passe tellement bien."
"18","@Ioxys suivant le pc je pense"
"19","Pamela Anderson explique pourquoi elle hésite à apparaître dans le remake d’Alerte à Malibu https://t.co/eC2Ko0SKaX #culture"
"20","IL NEIGE CHEZ TOUT LE MONDE ET CHEZ MOI C NTM OK JVOIS"
"21","RT @Girondins_FCGB: JLT""Le nbre de fois où j’ai vu sur terrain de rugby se faire recoudre la tête,la remettre dans la boue""Jms entendu parl…"
"22","Du vice maternel traînant l'hérédité / Toujours impatient dans sa course bornée / Le croissant fin et clair parmi ces fleurs de l'ombre"
"23","RT @kevniggaz: La plan a échoué 
Je répète LE PLAN A ÉCHOUÉ https://t.co/vKjteHkFLD"
"24","Charlotte Gainsbourg évoque le décès de son père : ""J'étais dans un sale état"" https://t.co/sHxVG4ETx4 #culture"
"25","Lire le livre d'Aurélie Lanctôt "" Les libéraux n'aiment pas les femmes - essai sur l'austérité "" @PKP_Qc #PQ #IRAI https://t.co/keXSKZ5aYQ"
"26","RT @CUADRADOLouise: @donnascalise @BarbRichter1 @AlloccaMirella  j'adore le cinéma et les séries américaines"
"27","C'est le manque d'une personne qui dans ta tête résonne..."
"28","Marc Trévidic le prouve: un bon juge ne fait pas toujours un bon romancier https://t.co/zM2xPZh0DJ #culture"
"29","@Thecraftdu34_ Apt dans le vaucluse"
"30","RT @fulshwn: à quand le bac vert mdr"
