id,texte,note,label
0,Bon produit mais au bout de 3 mois la batterie ne tient déjà plus.,3,neutre
1,"produit conforme au descriptif et en très bon état, aucun regret sauf que le chargeur n était pas fourni",5,positif
2,je vais en reprendre d autre dans 4 mois pour mes enfants je recommande ce vendeur,5,positif
3,"L’écran n’est pas reconnu, iMessage reste inactif (constaté par Apple) La batterie se vide très rapidement et l’appareil surchauffe.",1,négatif
4,très facile a appliquer,4,positif
5,"L'appareil surchauffe en utilisation, donc problème de batterie surement...",1,négatif
6,j'ai acheter ce téléphone en excellent état il est impeccable juste concernant les accessoire il n'y pas de chargeur que la coque. coque en bonne qualité je suis très satisfaite surtout que ce n'est pas cher pour ce que s'est ! je vous le conseille foncez !!,5,positif
7,"Je me pose la question de savoir si l'iPhone dit en ""excellent état"" n'était pas à la base défectueux, il chauffait rapidement et maintenant ne s'allume plus du tout. 2 semaines d'utilisation c'est peu, j'espère qu'il va être réparé ou changé !!! S'il vous plaît !!!!",1,négatif
8,"Je viens de le recevoir , maintenant j’attends avec la batterie mais pour l’instant je suis contente",4,positif
9,Fonctionne correctement pour le moment,4,positif
10,"Envoi rapide et soigné. Téléphone en excellent état, comme neuf",5,positif
11,Top satisfaite de mon achat,5,positif
12,"Apparence comme un tél neuf, livré avec le cable usb C, mais pas la prise. Après plusieurs mois d'utilisation, fonctionne bien, charge à 100% sans problème, mais quand il est posé à plat, le tactile ne fonctionne pas, je dois le relever, c'est peut-être la coque de protection que j'ai mise qui fait cela. Sinon j'en suis très contente.",4,positif
13,"Très bon état, reçu rapidement et avec une très bonne fonctionnalité, batterie à 100 %.",5,positif
14,"Après quelques jours de prise en main, je suis très satisfaite du téléphone. Seul regret, pas de chargeur, juste le téléphone. Mais contente de mon achat.",5,positif
15,"Je suis contente de mon achat que j’ai fait ici , le téléphone convient la description, en parfait état ??",5,positif
16,L’iPhone 12 que je viens d’acheter ça date de 1mois et demi maintenant très fonctionnel mais avec un défaut la capacité de la batterie qui passe à 100% à 90% en 1 mois seulement,4,positif
17,"En prenant du reconditionné, on pense faire des économies et c’est ce que l’on fait. Cependant les pièces changées ne sont pas des Apple, l’écran par exemple a des reflets violets, l’armature du téléphone n’est pas non plus une Apple. Je n’ose même pas imaginer la batterie (qui est d’ailleurs à 97% de ses capacités 3 semaines après achat… ce qui conforte mon idée que ce ne soit pas Apple non plus. Finalement, un reconditionné Apple qui ne l’est plus forcément au vu des pièces changées",3,neutre
18,"Très bon achat, il fonctionne très très bien, état impeccable pas de rayure, et batterie de très bonne autonomie",5,positif
19,Parfait en excellent état ??,5,positif
20,Ça fait maintenant 4 mois que j’ai l’iPhone et il fonctionne toujours super bien,5,positif
21,Ma fille est super contente de son i phone,5,positif
22,"J’ai reçu le téléphone en très bon état, seul bémol la capacité de batterie est très vite descendue",4,positif
23,Contente de mon achat même si c'est un reconditionné,5,positif
24,Livraison avance Très bon état Mais un point négatif pas de câble....,4,positif
25,"Rapport qualité prix ? très bon état, je recommande",5,positif
