id,texte,note,label
0,"J'ai reçu le téléphone en parfait état, exactement comme décrit. L'aspect est propre, et la livraison a été très rapide. Très satisfait de mon achat, je recommande !",4,positif
1,"Le téléphone en général est très bien, fonctionne parfaitement. Je rencontre actuellement un problème avec la batterie, j’étais à 100% de la capacité de la batterie, maintenant je suis à 95%. J’ai aussi un autre souci avec la batterie, un fois la batterie décharger à 12 ou 9% la batterie de se décharge plus, il a un gros problème sur la batterie",3,neutre
2,"Téléphone impeccable, livré en un jour ouvré",5,positif
3,Bonjour je suis très satisfait bon produit merci beaucoup,5,positif
4,Bon produit je recommande,5,positif
5,"Bonjour , bonne article , fonctionne très bien , bonne affaire",5,positif
6,Bonjour oui j'avoue le produit et rappelez-moi excellente toute 9 bien et je veux ouvrir mon free-moi il y a aucun défaut les délais de la livraison Était vraiment rapide bonjour comment à tout le monde bonne qualité ça mérite 5 sur 5,5,positif
7,Bon produit livraison rapide je suis satisfait dommage ya pas de prise pour charger le Le téléphone ya juste le câble USB,5,positif
8,"Reçu dans les temps, excellent état pour un reconditionné, batterie d'origine 100%,un peu déçu car sur les autres iphone 12 couleur noir et blanc , garantie commerciale de 18 mois,la j'ai du prendre une garantie casse a 26.99 pour 2ans en supplément.",5,positif
9,"Fonctionnel et fidèle à l’imarque de la marque Apple. Une belle couleur bleue et simple d’utilisation, de plus un antivirus est offert un an après l’achat. Vraiment le top !",5,positif
10,Mis en fonctionnement à réception : batterie à 98% - 4 heures + tard : 2 % / C'est ainsi tous les jours il faut le recharger au moins 2 fois par jour. Je vais tenter de le renvoyer,1,négatif
11,Merci Ce portable est parfait.,5,positif
12,Le téléphone est parfait niveau fonction rien n'a dire je vous recommande,5,positif
13,Acheter en novembre nous sommes en Mai le téléphone est deja défaillant ! Il ne capte plus aucun wifi !,3,neutre
14,"Pas déçu, je suis contente de mon achat. Le téléphone marche très bien, envoi rapide juste soucis avec le transporteur mais le vendeur 0 problèmes. Après, un mois d’utilisation pas de changement. Je vous recommande !",5,positif
15,"Bonjour, rien à signaler sur ce téléphone il tient bien la batterie. Pas de problème au niveau des paramètres d’écran ou autre je suis vraiment très ravi. Merci beaucoup",5,positif
16,"Produit conforme à sa description , iPhone pas de surprise efficace , je recommande.",5,positif
17,Je viens de me faire scam dans la description il y a marqué que la batterie qu’ils ont mit et mieux que celle de base pourtant la mienne fait de la sorcellerie hier je jouais je vois la batt Et à 51% je me dit je vais la mettre charger vite fait pendant que je mange je remonte je vois la batterie a descendu jusqu’à 1% puis je me dit pas grave c’est parce que le téléphone et trop chaud et là aujourd’hui je. Me dit je vais re tester pour voir le problème sauf que la batterie et posséder parfois elle marche nickel et parfois elle marche à l’envers au lieu de. Charger elle décharge et au lieux de s’éteindre ellle reste éveillé dit vous aujourd’hui pendant 1h ma batte Et rester à 16% alors que je jouer,1,négatif
18,cet achat etait assorti d'une reprise pour 23 € de mon iphone 8 J'ai reçu ma commande sans souci mais aucune nouvelle de la reprise !,4,positif
19,un telephone pour telephonner et prendre quelques photos ça me suffit largement !!!! je laisse les dernières technologies aux autres !!!!,5,positif
20,L’iphone est dans un excellent état néanmoins il ne prend pas les esim ce qui n’est pas normal. Le téléphone semble provenir du marché chinois.,3,neutre
21,Très bon produit. Marche à merveille,5,positif
22,Excellent état comme annoncé iPhone comme neuf Batterie performante Très contente de mon achat !,5,positif
23,Le chargeur qui est venue avec la produit à littéralement brûler heureusement que je m’en suis aperçu avant de brûler ma maison. Le téléphone au bout de 6 mois ne fonctionne plus sous les 80% de batterie il s’éteint et se rallume à 5% de batterie. Inutile n’achetez jamais reconditionné.,1,négatif
24,Deconne au bout de 1 semaine entre temp j’ai acheter une coque et verre tremper pour au final le renvoyer,1,négatif
25,Très sastifaite du produit,5,positif
26,Accessoire de la camera arrière son tombé quelque jours après mon achat produit pas de bonne qualité écran qui beug du mal à faire défiler les pages Dommage,1,négatif
27,Colis bien reçu mais après première prise en mains déçu de voir que la qualité de la batterie qui se décharge à une vitesse extrême Donc très déçu de ma commande,1,négatif
28,Livraison rapide iPhone en bon état,4,positif
29,le produit est conforme comme dans l’annonce contant de mon Achat pour le moment tout va bien je conseille ce site,5,positif
30,"Quelle surprise lors d'un changement d'opérateur de découvrir que la version du téléphone n'est pas française comme annoncé mais chinoise, du coup une esim achetée pour rien, obligé de repayer pour une sim physique. Très déçu et je pense qu'un signalement ne sera pas superflu.",1,négatif
31,"………….,,,,,,,…….,,,,,,,",5,positif
32,"Iphone propre, fonctionne bien petit bémol la batterie qui ne met pas long",4,positif
33,"Je suis très satisfaite de mon iPhone,, je l’ai essayé tout le week-end, je n’ai pas rencontré de problème. La batterie tient bien, il ne surchauffe pas, je recommande fortement.",5,positif
34,J'ai reçu l'iphone il y avait une protection d'ecran incluse c'est vraiment un point positive pour l'instant aucun problème J'y ai même jouer a fortnite les fps sont tres constant et pas vraiment de surchauffe surtout la batterie tien enormement en 1 heure de jeu j'ai perdu 20 % environs je recommande ce vendeur la livraison en 1 jours etait très rapide Il faut juste prevoir une coque de protection d'avance et un bloc de chargeur si vous n'avez pas (avec port lightning) il y aussi le true tone ce qui est bien et rare sur les iphones reconditionné mais j'ai eu une version americaine personnelement je trouve ça mieux mais apres j'aurai preferer une version française(européene) .,4,positif
35,Aucun avis j’aime beaucoup le téléphone,5,positif
36,Problème de batterie et s'allume plus,2,négatif
37,gros problème sur l'écran tactile le téléphone se bloque je ne peux plus me servir de l'écran je suis obligé de le couper et de le remettre en route pour espérer qu' il fonctionne très mauvais produit je ne le conseille pas,1,négatif
38,Mon fils a adoré comme sur le description en verra avec le temps,5,positif
39,Très bon téléphone juste la batterie qui se dégrade vite mais le reste rien à dire,4,positif
40,Satisfait depuis plus de 6 mois .,5,positif
41,Telephone non compatible Esim et écran Apple non reconnu,2,négatif
42,"Reçu assez vite, et surtout Très bien emballé Fonctionne parfaitement pour le moment !",4,positif
43,Aucun défaut après 3mois.,5,positif
44,Je recommande vivement,5,positif
45,"J’ai trouvé l’état du téléphone, tout fonctionne très bien",5,positif
46,Batterie non changer Téléphone qui beug Application qui se ferme sans arrêt Téléphone qui coupe,1,négatif
47,Un bon ephone en excellent état Restau de toutes mes applis avec ITunes,5,positif
48,L’iPhone est en excellent état. Aucune rayure ou trace d’usure. La batterie est à 100% de sa capacité. Les performances sont toujours présentes. Je recommande vivement pour son rapport qualité prix.,5,positif
49,Au bout de 4 mois l'ecran ne fonctionne plus et c'est pas le premier,1,négatif
50,"Bon produit en bon état, fonctionne bien.",5,positif
51,alors l’écran bug le téléphone aussi rien va,1,négatif
52,"ecran propre , nickel rien a dire serieux",5,positif
53,"Bel écran, belles photos, usage très fluide mais ce qui est dommage c'est que, même neuve; la batterie ne tient pas la journée.",4,positif
54,"Franchement je suis très surpris de le qualité, en dirai je l'ai acheté neuf , écran oled batterie impeccable.",5,positif
55,"Très mécontent car au bout de 10 jours suivant l’achat hier samedi mon téléphone s’arrête et le logo Apple clignote au bout de 15/20mn il ce rallumé aujourd’hui dimanche rebelote, je suis vraiment déçu, je pensais être tranquille c’est très gênant quand il s’arrête comme ça.",1,négatif
56,Sincèrement super portable comme neuf rapport qualité prix imbattables merci De plus le vendeur très bonne écoute et très réactif un super vendeur MERCI Bien-sûr je vous recommande vivement ce vendeur et portable !,5,positif
57,Mon mari l utilise tout les jours aucun soucis avec fonctionnement parfaitement,5,positif
58,"Au 1 er jour d’utilisation capacité batterie 100% , 2 mois et demi plus tard 88% . Déçu .",3,neutre
59,Mon téléphone s'éteint inopinément et quelques problème de connexion avec mes écouteur et le kit main libre de ma voiture. Dommage.,2,négatif
60,Très bon produit à conseiller,4,positif
61,Je recommande vivement,5,positif
62,Rien à dire super produit,5,positif
63,"Livraison rapide, téléphone bien protégé dans le carton , semble très proposé, ma fille en est très satisfaite",5,positif
64,Sa fais une semaine que j’ai ce téléphone et je ne suis pas dessus il et neuf pas casser ne bug pas et la batterie et a 96 !! Très satisfaite,5,positif
65,"Super, jolie et fonctionne très bien. Niveau qualité/prix c’est le top",5,positif
66,Bon état bien emballé,5,positif
67,Je suis très satisfaite de cet achat c'est mon fils qui l'utilise le téléphone et la hotte est à la hauteur en terme de batterie et de fonctionnalité il est en parfait état malgré le fait qu'il ait été reconditionné. En revanche je note juste qu'en terme d'accessoire nous n'avions qu'une prise USB avec un nouveau port et du coup nous n'avons pas d'adaptateur sous la main pour pouvoir le recharger. C'est dommage de ne pas fournir la prise. Et de ne pas le mentionner clairement que l'on puisse s'organiser rapidement.,5,positif
68,"La batterie a chauffé à deux reprises, et se décharge assez vite.. la connexion au Bluetooth est aléatoire et parfois difficile. J’attend de voir dans l’avenir l’évolution du téléphone.",3,neutre
69,J’ai commandé cet iPhone et l’ai reçu en à peine deux jours Envoi parfait iPhone en très bon état Batterie arrivée à 96% (pas 100 mais pas très dérangeant) Aucun impact aucun soucis de caméra Le tactile est parfait Rien à dire,5,positif
70,Téléphone en excellent état.,5,positif
71,Envoi rapide conforme à la photo appareil reconditionné en très bon état,5,positif
72,Bon téléphone et prix raisonnable,5,positif
73,Envoi très rapide et téléphone en excellent avec une batterie chargée et comme neuf. Je recommande vraiment ce vendeur,5,positif
74,vendeur très sérieux et le reconditionnement du téléphone est excellent avec un très bon prix,5,positif
75,Très bon je l'aime bien,5,positif
76,"Tout était ok, le téléphone en état aucun problème. Le seul problème et ce dernier qui est essentiel, la batterie. Téléphone renvoyer depuis hier.",2,négatif
77,parfait il était en bonne état,4,positif
78,L’article commandé fonctionne bien et il l’est en bon état.,4,positif
79,État parfait. Envoi rapide. Je recommande,5,positif
80,bon etat de marche description ok,4,positif
81,Mon fils est vraiment content de cet achat,5,positif
82,"Fonctionne très bien, la couleur est super et livraison rapide.",5,positif
83,"tres bon achat, je ne regrette pas mon achat. je recommance",5,positif
84,Reçu mon iPhone 12 128gb en excellent état Batterie 100% Livraison point relais nickel ! Je recommande vivement le vendeur BONSTORE,5,positif
85,Envoie rapide et soigner très bien,5,positif
86,Je recommande reçu rapidement portable comme neuf vraiment parfait,4,positif
87,Vraiment je suis heureux de se tel je l’adore grâce à c discount les meilleurs vendeurs,5,positif
88,"bon produit, bon rapport qualité prix, vendeur sympa et honnête",4,positif
89,Le produit est conforme à mes attentes. Il est comme neuf. Aucune griffe. Il fonctionne parfaitement j espère que cela continuera. La seule remarque est qu il ne vient pas de France et que donc ce n est pas Wifi qui apparaît mais Vlan mais ce n est pas dramatique.,5,positif
90,Super produit reçu lundi commandé samedi,5,positif
91,Marche très bien par contre l’arrière du téléphone est très facile et se casse au moindre petit choc,3,neutre
92,Impossible de transférer un autre iPhone même Apple n’y arrivent pas,1,négatif
93,"Offert ce jour à notre fille, quelle déception pour elle de ne pas pouvoir profiter de son cadeau d'anniversaire !. Vraiment pas une bonne publicité pour Cdiscount",1,négatif
94,Vraiment ravi de cet i phone,5,positif
95,Déçu commander iPhone 12 reçut un téléphone chinois blazer je vous le retourne rembourser moi grosse arnaque léger mal copier en plus pas bien du tout,1,négatif
96,Très bien ?? mon fils est ravi,5,positif
97,Conforme à la description… batterie 100% parfait,5,positif
98,les applis en chinois création de compte impossible non jumelage avec mon ancien iphone,2,négatif
99,L’iPhone en global est excellent mais dès que je le mets en charge il bug il prenait même des photos,5,positif
100,Super aucune griffures très bien emballer je ne suis pas déçu ??,5,positif
101,Zwin bateri bien tout,5,positif
102,Reçu le téléphone en 3 jours pour livraison normal le tel parfait état santé batterie 100% donc à voir avec le temps juste bémol carton ouvert des 2 côtés donc merci au livreur ??si boîte marquer Apple je pense que le tel disparaît,5,positif
103,Le téléphone est super etat de batterie franchement je recommande,5,positif
104,Suite à ma commande je confirme avoir reçu mon article bien emballé et en excellant état Le produit est fonctionnel et j'en suis satisfaite.,5,positif
105,La batterie ne tiens pas un journée très mauvaise batterie.,3,neutre
106,L’iphone se s’allume plus après 3 semaines !!!,1,négatif
107,Très bon iPhone 12. Expédition rapide en point relais très sympa. Dommage absence de chargeur.,5,positif
108,Je suis très déçu ne convient pas,1,négatif
109,Produit acheter en état parfait et reçu en état neuf. Iphone fonctionne parfaitement. Très bon emballage. Vendeur de confiance.,5,positif
110,Parfait ! Reçu très rapidement et comme neuf. Batterie à 100%.,5,positif
111,"Pour le moment tout va bien pour ce téléphone reconditionné, à suivre...",5,positif
112,Téléphone comme neuf. Livraison rapide je recommande,5,positif
113,Très satisfaite de mon achat le portable est comme neuf cadeau pour ma nièce elle n'a même pas vu la différence avec un portable acheter chez iPhone et celui-ci reconditionné La couleur est magnifique que ce soit le téléphone en lui-même ou la batterie tout est impeccable je recommande ce vendeur reçu très rapidement,5,positif
114,Mes filles sont très contentes,5,positif
115,Rien à redire. Tout se passe bien.,4,positif
116,La livraison a été rapide mais l’écran de l’iPhone est très sombre. Je pense que y a un problème d’affichage d’origine du portable. Je compte le retourner pour échanger échanger avec un autre.,1,négatif
117,"Fuyez et n'achetez pas ici, c'est un conseil. si vous voulez parler avec le vendeur, cela ne sert à rien, car c'est un robot qui parle à sa place.",1,négatif
118,Première commande j’aime bien,5,positif
119,"Ça fonctionne très bien , livraison rapide bien emballé . Téléphone reconditionné comme neuf je recommande",5,positif
120,"Article fonctionne très bien , Mais j'ai pas reçu le chargeur Très belle couleur",4,positif
121,Très bon portable mais heureusement que j’avais un double de celui ci pour rajouter des composant manquant notamment ce qui tiens la carte mère a l’intérieur bref évité le reconditionnement,1,négatif
122,Ne se connecte pas au réseau orange,1,négatif
123,J’ai reçue le téléphone en 2 jours avec une batterie général à 100% le câble usb-c fourni le téléphone est parfait aucune trace d’usure il tiens largement toute une journée.,5,positif
124,De vrai pas mal le téléphone et bien pour l’instant 97 pour-cent de batterie il y’a que l’écran qui n’est pas d’origine sinon parfait bien emballer je recommende,5,positif
125,Prend en charge la 5G photos très belles,5,positif
126,Parfait et fonctionnel,4,positif
127,Rien a dire Envoi super rapide et tablettes très correct pour le prix,5,positif
128,"Bonjour, j'ai acheter un iphone 12 par contre, je n'arrive pas à installer d'application car il dis qu'on a trop de comptes icloud alors que c'est le premier iphone que l'on achète... Qui peut m'aider ?",5,positif
129,Une heure pour que le réseau ne marche plus rien ne marche jamais vue sa,1,négatif
130,Produit correctement conservé,4,positif
131,Très très bon état mon fils et content,5,positif
132,Se décharge vraiment rapidement,1,négatif
133,La batterie ne tient pas de charge Elle decharge rapidement même sans utilisation,1,négatif
134,"téléphone conforme a la description mais pas de notice, ni de chargeur",4,positif
135,"j'ai acheté ce téléphone pour mon fils et rien à dire. batterie changée, prise qui va avec tres bien",5,positif
136,Batterie HS au bout de 3 mois et non officielle. Il faudrait mentionner état d'occasion et non reconditionné...,1,négatif
137,"Très bien reconditionné ,très fonctionnel et très élégant ma petite fille va l'adorer",5,positif
138,Super marche très bien,5,positif
139,"IPhone 12 super état conforme à la description, je recommande merci c discount",5,positif
140,Bonjour j ai reçu mon portable en quelques jours arrivé en excellent état batterie a 100% nouvelle version installée plus qu a mettre un verre trempé pour le protéger merci,4,positif
141,Bon produit et satisfaite,4,positif
