id,texte,note,label
0,le telephone fonctionne parfaitement je recommabnde,4,positif
1,Moyen a du mal à capter partout,3,neutre
2,il c’est déjà cassé et l’état de la batterie diminue de jour en jour,1,négatif
3,Les délais de livraison ont été respectées le téléphone est arrivé en parfait état seul bémol c’est la batterie qui n’est pas d’origine mais c’est du reconditionné donc ce qui est un peu normal mais c’est pas pour autant que la batterie reste pas très bonne donc je met quand même 5 étoiles.,5,positif
4,"Écran reçu en bon état batterie en 100%, caméra à l’arrière que se décolle un peu, le gros problème est l’écran pas les même couleurs que d’origine, dans le noir l’écran a des reflet vert et violet très visible, écran de qualité vraiment bas de gamme, a voir dans le temps.",3,neutre
5,"Acheté pour Noël, la qualité avait l’air d’être bonne (à première vue seulement), l’état de santé de la batterie avait perdu 16% au bout d’un mois d’utilisation, des bugs qui arrivent de plus en plus souvent, des problèmes de charges qui commencent à se faire ressentir, bref un vendeur à fuir",1,négatif
6,Même un mois je déjà 97% c normal ou pas,3,neutre
7,"Franchement aucun regret etat neuf batterie 100 aucune rayure prix abordable , je vous le recommande",5,positif
8,Parfait qualité rapport prix,5,positif
9,J’ai été très surpris sur l’état du téléphone franchement on dirait un neuf juste dommage qu’il y ait pas une coque basique livré avec sinon rien à dire tous fonctionne nickel et la batterie étais bien à 100%.,5,positif
10,iPhone 13 Pro bon produit aucune rayure et défaut,5,positif
11,Produit egale a un produit neuf,5,positif
12,"Au bout de moins d’une semaine le telephone passe de 100% a 99% de capacité de batterie??? C’est pas normal et l’écran commence déjà à beuger. Le telephone viens du chypre avec 3,2/5 etoiles bon… Déconseille fortement",5,positif
13,La batterie ne tient pas,3,neutre
14,Je suis un peu déçu au niveau de chargeur ?,3,neutre
15,J'adore cette telephone tres bien excellent état comme neuf! Batterie à 100% . Je recommande Le vendeur ???,5,positif
16,"Je suis très satisfait de cette achat. Iphone 13 pro en parfaite état général. L'état de la batterie est de 100%, top qualité prix. Je recommande ce vendeur",5,positif
17,Dommage qu’il n’y ai pas de coque et verre trempé avec,4,positif
18,Arrivé en parfait état,5,positif
19,Produit conforme et dans un parfait état Je remercie le vendeur Merciiiii,5,positif
20,Deux fois que je commande chez eux … et à chaque fois le téléphone a un problème !!!,1,négatif
21,"Téléphone répondant à mes attentes, esthétiquement très bien et avec de belles performances. Reçu très rapidement.",5,positif
22,Excellent état comme neuf Très satisfaisant,5,positif
23,Batterie neuve état proche du neuf,5,positif
24,"bon téléphone j'aime, beau design, bon appareil, bonne clarté,",5,positif
25,"L’état est très conforme, il est comme neuf, la batterie est à 100% et après 5 jours d’utilisation tout est opérationnel. Je suis très content de mon achat.",5,positif
26,Rien à redire rapide efficace chez cdiscount ?,5,positif
27,Enfin un iphone en bon tres bon état avec une batterie neuve et un envoi rapide,5,positif
28,Telephone excellent état extérieur Par contre batterie hs Ne tiens pas une journée Je ne suis pas un ado .rare que je suis sur mon téléphone . Très déçu ?,4,positif
29,"Note globale 4/5 Malgré l’autonomie de la batterie,.. TOUT est impeccable ! L’état du téléphone ´comme neuf ‘/ délais de livraison respecté / colis au petit soin Ps : Honnêtement, au vue des commentaires négatifs sur le retour des produits reconditionnés, je n’étais pas très confiant. Comme quoi..",5,positif
30,Bonjour j’ai rien n’a dit il est super,5,positif
31,"Je l’ai reçu aujourd’hui franchement au top avec protection écran , fonctionne bien",5,positif
32,"Reçu dès le lendemain , état impeccable , batterie 100%. À voir avec le temps Ravi de l’achat",5,positif
33,Très bien comme article,5,positif
34,iPhone reçu 100% de capacité debatterie en 3 semaine rendu a 95% Nul,1,négatif
35,Batterie reçue 100% mais tient maximum 2h !!! Arnaque,1,négatif
36,Téléphone tien pas plus de 3h Batterie pas Apple Le téléphone ne veux pas charger,1,négatif
37,"Ravie de ma commande, portable en excellent état. Produit conforme à la description. Envoi rapide 3 jours pour le portable seulement. Merci",5,positif
38,Tout semble parfaitement bien fonctionner juste la batterie se vide relativement plus vite qu'un neuf et la mémoire et un peu moins grande qu'un neuf sinon le prix correspondant au produit. J'en suis content merci au vendeur.,5,positif
39,Nikel téléphone propre avec chargeur rapide ! Merci,5,positif
40,"Le téléphone est tombé en panne au bout de 3 mois. Je ne peux pas donner d'avis sur le SAV mais mes étoiles laissent deviner ce que j'en pense. Bref, très déçue !!",1,négatif
41,produit de qualité en excellent état.,5,positif
42,"Téléphone très bien mais batterie deja à changer ,un coup supplémentaire ,non prevu",3,neutre
43,IMPECCABLE reçu rapidement et bien emballé… 100% capacité,5,positif
44,"Bravo CDiscount, je conseille à tout le monde cette plateforme bordelaise pour vos appareils reconditionnés ?",5,positif
45,La baterrie et passer de 100 a 99 en 1 jour c'est quand même abuser,2,négatif
46,"Incroyable j’achète plus un portable Apple,beaucoup de problèmes (Batterie,giga ooo,pourtant dans l’annonce 512 giga plus il bloque et le prix très chère)",1,négatif
47,Bonjour c discount Merci beaucoup parfait bonne téléphone,5,positif
48,capacité batterie 100% parfait état je recommande,5,positif
49,"Super mais malheureusement l’objectif arrière c’est décollé en seulement 2 semaines d’utilisation, cela est réparable bien sûr.",3,neutre
50,"Téléphone acheté pour mon assistante pour ses démarches professionnelles au quotidien, il est parfait ergonomiquement",4,positif
