id,texte,note,label
0,Plusieurs problèmes rencontrés avec ce téléphone,1,négatif
1,Je l ai offert à mon fils il en est très content,5,positif
2,Téléphone nickel et réception rapide. Je recommande,5,positif
3,Fonction génial Je recommande Envoi rapide,5,positif
4,Le téléphone est comme neuf .La couleur est magnifique je recommande,4,positif
5,J’ai reçu rapide c’est trop propre aucun défaut sur ça,5,positif
6,Au bout de 2 ans ne fonctionne plus,1,négatif
7,Ma fille est très contente de son téléphone,5,positif
8,"Fonctionne parfaitement, excellent produit",5,positif
9,Téléphone reçu rapidement et fonctionne très bien,5,positif
10,"J’avais commander ce produit j’ai vérifié immédiatement l’état de la batterie, « état de réparation ». J’ai renvoyer. Il faut pas écrire bon état si la batterie est en mauvais état.",1,négatif
11,Très bon téléphone en parfait état impeccable batterie a 100 pour 100 ? je recommande ce vendeur produit bien emballé avec chargeur je recommande merci+++,5,positif
12,Un petit cadeau pour mon petit neuve mais il a donné son téléphone. Ça réchauffe en pue vite mais ça va rien de grave. Je recommande,5,positif
13,"Parfait commander pour ma fille , ravie 100% de batterie meilleur qualité prix",5,positif
14,"Bonjour, J’ai commander se téléphone le 17 avril 2024 et je ai reçu le 19 avril 2024 le téléphone et impeccable aucun rayure comme neuf par contre il y a que le fil du chargeur Aussi pas d'écouteur mais sinon c’est impeccable je le recommande FONCER",5,positif
15,Le tel marcher très bien et depuis une mise a jours il et inutilisable vraiment dégoûter..,1,négatif
16,Ma fille est super contente de sont cadeau de noel,5,positif
17,Je conseille ce produit,5,positif
18,Je ne suis pas satisfaite le téléphone chauffe quand on l’utilise,2,négatif
19,Je viens de le commander et reçus très beau nickel mais batterie 94 % j’ai peur quand je voit les commentaire j’espère ne pas être déçus …,4,positif
20,Très bon produit pour l'état. Cependant la batterie chauffe beaucoup je trouve à voir dans le temps,4,positif
21,Mon fils voulait iphone x et je ne suis pas déçu ! Bon forcément il n'y a pa d'écouteur filaire et pas l'adaptateur faut le savoir sinon nikel,4,positif
22,Se réchauffe très rapidement,4,positif
23,Je viens dans commandé un vos commentaires me font peur ? j'ai peur encore d'être déçu,2,négatif
24,Téléphone nickel part contre reçu ouvert ?,4,positif
25,Merci c’est bon téléphone,5,positif
26,Comme neuf ! Aucune information trace,5,positif
27,Vendeur qui est arrogant,1,négatif
28,Pour un téléphone reconditionné je suis satisfaite il fonctionne très bien,5,positif
29,Correspond à mes attentes Fonctionne parfaitement État comme neuf,5,positif
30,Très bon téléphone merci bien,5,positif
31,Malheureusement le téléphone surchauffe,1,négatif
32,Produit en très bon état batterie au top franchement agréablement surpris merci,5,positif
33,"Satisfaite c'est pour ma fille,c'est un téléphone que ma fille voulais depuis longtemps,très bonne qualité pour un prix raisonnable",5,positif
34,Livraison rapide excellent état fonctionne très bien,5,positif
35,Je suis très satisfaite de ce produit. Très bonne qualité prix pour un produit qu’il paraît neuf.,5,positif
36,Livraison rapide mais problème sur l'iphone il s'éteint tous les minutes,1,négatif
37,Produit en parfait état prix vraiment raisonnable et livraison rapide je le recommande,5,positif
38,j'epsère qu'il va durer longtempsssssssssssssssssss !,5,positif
39,"Par ou commencer , je commande un téléphone gris on m'en envoie un blanc sans me demander mon avis. Le téléphone s'éteind et se rallume seul toutes les 30 min depuis que je l'ai reçu et l'écran reste figée par moment. Vraiment super déçue",1,négatif
