mot,score_brut,score_positivite
$:,-1.5,0.0
%),-0.4,0.0
%-),-1.5,0.0
&-:,-0.4,0.0
&:,-0.7,0.0
( '}{' ),1.6,0.4
(%,-0.9,0.0
('-:,2.2,0.55
(':,2.3,0.575
((-:,2.1,0.525
(*,1.1,0.275
(-%,-0.7,0.0
(-*,1.3,0.325
(-:,1.6,0.4
(-:0,2.8,0.7
(-:<,-0.4,0.0
(-:O,1.5,0.375
(-:o,1.5,0.375
(-:{,-0.1,0.0
(-:|>*,1.9,0.475
(-;,1.3,0.325
(-;|,2.1,0.525
(8,2.6,0.65
(:,2.2,0.55
(:0,2.4,0.6
(:<,-0.2,0.0
(:O,2.5,0.625
(:o,2.5,0.625
(;,1.1,0.275
(;<,0.3,0.075
(=,2.2,0.55
(?:,2.1,0.525
(^:,1.5,0.375
(^;,1.5,0.375
(^;0,2.0,0.5
(^;o,1.9,0.475
(o:,1.6,0.4
)':,-2.0,0.0
)-':,-2.1,0.0
)-:,-2.1,0.0
)-:<,-2.2,0.0
)-:{,-2.1,0.0
):,-1.8,0.0
):<,-1.9,0.0
):{,-2.3,0.0
);<,-2.6,0.0
*),0.6,0.15
*-),0.3,0.075
*-:,2.1,0.525
*-;,2.4,0.6
*:,1.9,0.475
*<|:-),1.6,0.4
*\0/*,2.3,0.575
*^:,1.6,0.4
",-:",1.2,0.3
---'-;-{@,2.3,0.575
--<--<@,2.2,0.55
.-:,-1.2,0.0
..###-:,-1.7,0.0
..###:,-1.9,0.0
/-:,-1.3,0.0
/:,-1.3,0.0
/:<,-1.4,0.0
/=,-0.9,0.0
/^:,-1.0,0.0
/o:,-1.4,0.0
0-8,0.1,0.025
0-|,-1.2,0.0
0:),1.9,0.475
0:-),1.4,0.35
0:-3,1.5,0.375
0:03,1.9,0.475
0;^),1.6,0.4
0_o,-0.3,0.0
10q,2.1,0.525
1337,2.1,0.525
143,3.2,0.8
1432,2.6,0.65
14aa41,2.4,0.6
182,-2.9,0.0
187,-3.1,0.0
2g2b4g,2.8,0.7
2g2bt,-0.1,0.0
2qt,2.1,0.525
3:(,-1.2,0.0
3:),0.5,0.125
3:-(,-2.3,0.0
3:-),-1.4,0.0
4col,-2.2,0.0
4q,-3.1,0.0
5fs,1.5,0.375
8),1.9,0.475
8-d,1.7,0.425
8-o,-0.3,0.0
86,-1.6,0.0
8d,2.9,0.725
:###..,-2.4,0.0
:$,-0.2,0.0
:&,-0.6,0.0
:'(,-2.2,0.0
:'),2.3,0.575
:'-(,-2.4,0.0
:'-),2.7,0.675
:(,-0.9,0.0
:),2.0,0.5
:*,2.5,0.625
:-###..,-2.5,0.0
:-&,-0.5,0.0
:-(,-1.5,0.0
:-)),2.8,0.7
:-),1.3,0.325
:-*,1.7,0.425
":-,",1.1,0.275
:-.,-0.9,0.0
:-/,-1.2,0.0
:-<,-1.5,0.0
:-D,2.3,0.575
:-[,-1.6,0.0
:-\,-0.9,0.0
:-c,-1.3,0.0
:-d,2.3,0.575
:-o,0.1,0.025
:-p,1.5,0.375
:-|,-0.7,0.0
:-||,-2.5,0.0
:-Th,0.9,0.225
:/,-1.4,0.0
:3,2.3,0.575
:<,-2.1,0.0
:>,2.1,0.525
:?),1.3,0.325
:?c,-1.6,0.0
:@,-2.5,0.0
:D,2.3,0.575
:P,1.4,0.35
:[,-2.0,0.0
:\,-1.3,0.0
:],2.2,0.55
:^),2.1,0.525
:^*,2.6,0.65
:^/,-1.2,0.0
:^\,-1.0,0.0
:^|,-1.0,0.0
:c),2.0,0.5
:c,-2.1,0.0
:d,2.3,0.575
:l,-1.7,0.0
:o),2.1,0.525
:o,-0.4,0.0
:o/,-1.4,0.0
:o\,-1.1,0.0
:o|,-0.6,0.0
:p,1.0,0.25
:s,-1.2,0.0
:{,-1.9,0.0
:|,-0.4,0.0
:},2.1,0.525
:Th,1.1,0.275
;),0.9,0.225
;-),1.0,0.25
;-*,2.2,0.55
;-],0.7,0.175
;D,0.8,0.2
;],0.6,0.15
;^),1.4,0.35
;d,0.8,0.2
</3,-3.0,0.0
<3,1.9,0.475
<:,2.1,0.525
<:-|,-1.4,0.0
=),2.2,0.55
=-3,2.0,0.5
=-D,2.4,0.6
=-d,2.4,0.6
=/,-1.4,0.0
=3,2.1,0.525
=D,2.3,0.575
=\,-1.2,0.0
=],1.6,0.4
=d,2.3,0.575
=l,-1.2,0.0
=p,1.3,0.325
=|,-0.8,0.0
>-:,-2.0,0.0
>.<,-1.3,0.0
>:(,-0.7,0.0
>:),0.4,0.1
>:-(,-2.7,0.0
>:-),-0.4,0.0
>:,-2.1,0.0
>:/,-1.6,0.0
>:[,-2.1,0.0
>:\,-1.7,0.0
>:o,-1.2,0.0
>:p,1.0,0.25
>;(,-2.9,0.0
>;),0.1,0.025
>_>^,2.1,0.525
abandon,-2.4,0.0
abandonnant,-1.6,0.0
abandonne,-2.0,0.0
abandonner,-1.9,0.0
abandonnes,-1.3,0.0
abandonneur,-1.9,0.0
abandonneurs,-1.9,0.0
abandonneuse,-1.9,0.0
abandonneuses,-1.9,0.0
abandons,-1.7,0.0
abasourdi,-0.3,0.0
abasourdie,-0.3,0.0
abasourdies,-0.3,0.0
abasourdir,-0.1,0.0
abasourdis,-0.3,0.0
abasourdissant,-0.8,0.0
abasourdissante,-0.8,0.0
abassourdissantes,-0.8,0.0
abassourdissants,-0.8,0.0
abattu,-0.7,0.0
abattue,-1.1,0.0
abattues,-1.1,0.0
abattus,-1.1,0.0
abhorrer,-2.2,0.0
abondamment,1.9,0.475
abruti,-0.5,0.0
