"","x"
"1","is anyone interested in buying 2 Rihanna concert tickets for Weds 29th June 2016 in Manchester? Message me x"
"2","RIHANNA Announces New Album and 2016 Tour Dates! Get more Tour Info here https://t.co/UC2Kn8KggN #Rihanna #AnitWorldTour"
"3","TMO #JayandMorgan draw the Grand Prize winner for #Rihanna in TO! Good luck! 

https://t.co/JWf6wr0zwx"
"4","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/sDzmzEvymb"
"5","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/sDzmzEvymb"
"6","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/sDzmzEvymb"
"7","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/sDzmzEvymb"
"8","John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/sDzmzEvymb"
"9",".@rihanna's priceless reaction to one fan who stole her 'Anti' show is the absolute best! https://t.co/TPd6OGaPf1 https://t.co/liIFnKOb6e"
"10","RIHANNA Announces New Album and 2016 Tour Dates! Get more Tour Info here https://t.co/OjnWTzV7aB #Rihanna #AnitWorldTour"
"11","RT @QuinlanCompany: Attending Rihanna's concert tonight? Here's what you can expect: https://t.co/YQrkycMNtV #Buffalo #RiRi https://t.co/Hu…"
"12","#JohnWall John Wall Met Rihanna Backstage at Her Concert, Gave Her a Wizards Jersey  Click&gt; https://t.co/JHozCSR4R7"
"13","Concert Review- Coheed and Rihanna https://t.co/6PJ4D6hB98 https://t.co/1vtR6YX5bx"
"14","RT @RihannaReplay: [New post] Backstage at the Miami concert https://t.co/4JxnKv19pl"
"15","New post: Rihanna Passes The Mic To A Fan At Her Concert…What He Does Will Blow You Away https://t.co/RNqlRRdXHN"
"16","Rihanna Passes The Mic To A Fan At Her Concert...What He Does Will Blow You Away https://t.co/Posi26ODix"
"17","Rihanna Passes The Mic To A Fan At Her Concert...What He Does Will Blow You Away: 
When Rihanna kicked off ... https://t.co/Ki2rpRMcVs"
"18","#Sexy #Celebs Travis Scott Concert Merch #Rihanna Anti Tour 2016 Size L https://t.co/oo5K3Echw1 #onsale #Discount https://t.co/ilD25jF53E"
"19","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/NsMuzWvWRb"
"20","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"21","#Rihanna #Style Travis Scott Concert Merch Rihanna Anti Tour 2016 Size L https://t.co/worpatbRPZ #eBay #Deal #Save https://t.co/CPwtON19Nd"
"22","Adele Is Avoiding Rihanna’s Wembley Concert? https://t.co/9SWR1T4mLT via @TheInfoStrides"
"23","RT @AWTGuide: Tickets on sale now:
https://t.co/O2bTEuAKXX"
"24","TC2 Post: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/cncMGGxiOK https://t.co/Pzg8bHUIyJ"
"25","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/NsMuzWvWRb"
"26","Photos: John Wall Gives Rihanna a Jersey After Concert https://t.co/zePxIF3a0b https://t.co/r14k2XeS9s"
"27","TC2 post: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/WhSVvLL3SB"
"28","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/NsMuzWvWRb"
"29","RT @BSO: John Wall Gives Rihanna a Jersey After Concert (Photos) https://t.co/8DviWGNgUH via @thacover2 https://t.co/NsMuzWvWRb"
