"","x"
"1","RT @ce_nord: Dans l’actu – Les médecins du travail vent debout contre le projet de loi El Khomri https://t.co/BxqPYxkqFF"
"2","RT @Bleu_Toulouse: Vous sur scène avec @florentmotheoff et @RoiArthur_Off 26/03 à #Toulouse <U+25BA> https://t.co/ezrAcWwxPB cc @ForumFlowOff http…"
"3","RT @LaBallue: Sauvez le patrimoine historique de la France massacré par  les éoliennes géantes: https://t.co/am0T3JIEnN https://t.co/am0T3J…"
"4","Je tombe tellement amoureux de The Fame Monster <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>"
"5","RT @KenanDemi60: T'façon ca sert a rien de s'excuser les gens changent , ils varient de jours en jours.. l'hypocrisie"
"6","RT @Meteovilles: La #neige atteint #Paris - La #TourEiffel disparaît sur notre #webcam : https://t.co/MbqPKN5s60 https://t.co/9Q5eUIocjt"
"7","RT @CMarilleau: Genevoix c lgenre de lycée à être en état d'urgence depuis 4 mois en fermant toute les porte de l'entrée mais qui organise …"
"8","RT @vincentpoitier: J'ai réalisé un sondage auprès de 100 schizophrènes...
167 d'entre eux ont accepté de répondre aux questions..."
"9","RT @shadowofstyles: coup de soleil intense aussi  https://t.co/qsG9CaMd0L"
"10","RT @carbvn: j'écoutais une musique de SCH puis jdescend pr voir les commentaires et jtombe sur ça ptdrr jSUIS MORTE https://t.co/MvmPuc2rLk"
"11","J'ai récolté 402 unités de nourriture !  https://t.co/AbxQEIye1b #iphone, #iphonegames, #gameinsight"
"12","RT @jeremstar: Inès (#Bachelor): Traitée de ""michetonneuse"" par Capucine Anav (#LeMadMag), elle répond violemment! https://t.co/d72w1mGMJN"
"13","RT @TeenWolf_FR_MTV: #PHOTO Holland à l'avant première de ""London has Fallen"" |01.03.16| https://t.co/jwfmSzTmKc"
"14","RT @mvriix: j'crois j'peux tout faire à partir du moment où j'ai mes écouteurs et à balle de son"
"15","je suis trop contente de cette journée"
"16","En ce moment j'ai un pb avec la partie gauche de mon visage, genre j'ai des vieux tic c'est trop chelou"
"17","RT @LucasMoreels: Y a de plus en plus de mecs qui font la coiffure de Manny dans l'âge de glace c'est chaud https://t.co/vWJ2ziaT0S"
"18","Dans l'équipe du Bayern ce soir ya plus de Français que d'allemand"
"19","RT @ASIMBB09: https://t.co/mTAIfzk9Lg Jérémy m'offre un dossier<ed><U+00A0><U+00BD><ed><U+00B8><U+0089> Merci<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/WioLXLV4jT"
