id,texte,note,label
0,"Très bien, excellent état pour un reconditionné ! Batterie à 100% en capacité !",5,positif
1,Téléphone iPhone très bien pour le moment,5,positif
2,Beau téléphone je lai pris poir ma fille de 13 ans...mais la batterie ne tiens pas...je suis très déçue pourtant excellent état noté. Donc qi je veux changer la batterie ça va me coûter 70e en plus..,1,négatif
3,Très bonne affaire vu sa qualité par rapport à son prix c'est vraiment super,4,positif
4,Contente de mon achat ??,5,positif
5,Je me suis demandé si c’était vraiment un produit reconditionné . Aucune rayure même micro et batterie à 100% Je recommande fortement (Acheté il y a 2 semaines),5,positif
6,Je les reçu le lendemain. Ça fait plus d’un mois que je l’utilise et je peux vous dire qu’il est nickel ! La batterie et l’écran sont neuf et le téléphone ne présente aucune rayure. Foncez les yeux fermés ?,5,positif
7,"Produit vendu ""comme neuf"". Batterie à remplacer moins de 10 jours après l'achat.",1,négatif
8,"Le vendeur c’est trompé de couleur au lieu d’être violet il est bleue sinon il fonctionne très bien mes je suis dessus pour la couleur on y met quand même le prix, c’est pas normal…",3,neutre
9,L’état de l’iphone est impeccable néanmoins à ma grande surprise le téléphone ne prend pas les esim. Après rapide recherche il semblerait que ce soit un téléphone provenant du marché chinois. Je vais tenter de voir avec le vendeur et s’il lit ce message je lui serais reconnaissant de bien vouloir me recontacte afin de chercher une solution.,3,neutre
10,Excellent soit disant mais reçu avec 1 choc sur l'écran Payer si cher pour se resultat pfff Vraiment déçu,3,neutre
11,Bon produit très sastifaite,5,positif
12,je recommande ces parfait,5,positif
13,Téléphone parfait rien à dire pour l'instant. A voir sur la durée.,5,positif
14,"Après quatre mois d'achat, je peux dire que c'est le meilleur. Je le recommande.",5,positif
15,Très propre les images.,5,positif
16,"J’ai acheté ce téléphone, il y a maintenant deux mois et demi, il fonctionne parfaitement bien. Aucun problème à signaler mise à part sa batterie au bout de deux mois et demi. La batterie est passée de 100 % d’état de santé à en dessous de 90 % et ça descend rapidement, je doute fortement Que le vendeur quand il a reconditionné le téléphone qui ai mis unebatterie officielle Apple.",3,neutre
17,La livraison était rapide et le téléphone est vraiment bien merci,5,positif
18,N achetez pas vend des produits illégaux à l intérieur du téléphone il ma tenue que 2 mois et J ai eux plusieurs soucis,1,négatif
19,Je suis ravie de mon iPhone Il est nickel ? comme neuf À voir dans le temps !! Reçu rapidement,5,positif
20,Top excellent état fonctionne parfaitement état de la batterie niquel,5,positif
21,Produit en parfait état comme neuf ma fille est ravie,5,positif
22,Très bon produit rapport qualité prix au top et livraison rapide je recommande vivement,5,positif
23,"J'achète un nouveau téléphone pour un problème de ghost touch, voila que ce telephone a le meme problème... État de la batterie a 100% pour qu'elle tienne max 4h en étant en veille Sinon n'as pas de rayure",3,neutre
24,Ma fille est contente,5,positif
25,Je suis ravie de mon achat sur c discount mon iPhone 12 est juste magnifique le seule bémol et peut être la batterie qui se vide très vite mais sinon rien à redire la couleur est magnifique les image superbe et fluide très contente de mon achat il est super pour un reconditionné je suis très contente,4,positif
26,Mon iPhone n’est pas un iPhone français Et je ne savais pas que c’était possible. À voir si à l’utilisation cela pose problème…,3,neutre
27,Le téléphone est arrivé en 2 jours et il est vraiment comme neuf !!! Aucune micro rayure et il fonctionne parfaitement !!! Batterie 100% je ne regrette absolument pas mon achat.,5,positif
28,Pas mal vous vendez des téléphones avec le câble sans le chargeur c’est bin je branche ou le câble dans la prise 220 ?? Pas normal ça,1,négatif
29,Très bon téléphone il fonctionne très bien je n’es pas de problème avec je va le recommande !!!! Par contre si vous prenez livraison au point de relais attention ils bb mettent pas les bonne dates de livraison,5,positif
30,Un grade A avec une batterie qui est passée de 100% fin décembre à 89% le 16 février… la promesse du reconditionnement à état neuf n’est pas tenue. Très décevant !,1,négatif
31,Envoi rapide et soigné Sous blister comme un neuf Batterie d’origine 96% Conforme à la description,5,positif
32,Bonne qualités et aucun défaut du téléphone et reçu avant la date prévu je le recommande,5,positif
33,J'aime beaucoup Je recommande,5,positif
34,"Très déçue, je n'ai jamais eu de soucis avec mon ancien iphone X reconditionné commandé sur Back Market mais celui ci à peine reçu, 1er jour d'utilisation : la batterie à tenue à peine 2h. Impossible d'avoir une utilisation normal du téléphone, il se décharge hyper vite alors que pourtant l'état de la batterie affiche 100%... J'en conclue que la batterie à été remplacée par une batterie de très mauvaise qualité. Rapport qualité prix 0 sachant que je dois faire remplacer la batterie chez Apple pour espérer pouvoir l'utiliser...",1,négatif
35,Personnellement aucun problème et aucun regret. - Envoie rapide - J’ai reçu la couleur demandé - Parfait état - Batterie à 100% - Reçu avec un câble,5,positif
36,parfait état merci beaucoup rien à dire,5,positif
37,Téléphone correct et efficace,5,positif
38,"Rien à dire, excellent état, comme neuf, arrivé plus tôt",5,positif
39,Produit qui correspond à mes attentes. Très bon rapport qualité prix et le téléphone fonctionne très bien.,5,positif
40,"conforme à la description du produit, fonctionne parfaitement, j'en suis ravie.",5,positif
