id,texte,note,label
0,livre très rapidement prix très compétitif sur ce modèle très satisfaite de cet achat,5,positif
1,"Reçu avant la date annoncée, je suis super contente. Tout ok",5,positif
2,"Un besoin urgent d'Iphone après la série Xs et pas le budget ? La solution ? Un iPhone reconditionné de chez Cdiscount payable en 4 fois. Était général Nickel, petite appréhension pour la batterie. Appréhension totalement injustifiée donc pleinement satisfait. La coque a été achetée à part.",5,positif
3,Ne tien pas la batterie non conforme à fuir,1,négatif
4,excellent achat pour le portable,5,positif
5,"franchement bien, petit prix petite taille, il est idéal, il fonctionne au top batterie charge 100% COULEUR NIKEL pas de rayures pour un reconditionné, film protecteur d'écran offert, très bon conditionnement livraison rapide franchement c'est très très bien, ils ont gagné un client supplémentaire je vais en commander un autre du coup",5,positif
6,Téléphone 12mini en très bonne état aucune fissure. Batterie à 100%. Je recommande,5,positif
7,Il et au top sauf il et vraiment petit,4,positif
8,"conforme a l'annonce, fonctionne parfaitement.",5,positif
9,Pas de coque de protection alors que celle ci était dans le descriptif,4,positif
10,J’ai envoyé un message au vendeur il se décharge trop vite .,1,négatif
11,Ces deux produits ipad6/ iPhone 12 ont été bien accueillis et aimés par leurs utilisateurs les enfants. Sur ceux j’espère acheter quand besoin sera nécessaire chez cdiscount .,5,positif
12,"Téléphone arrivé rapidement. Parfait état, fonctionne très bien et batterie intacte. Un grand merci.",5,positif
13,"J’ai bien reçu le colis bien emballé etc. aucune fissure à l’ouvrage, parlons du téléphone maintenant j’étais agréablement surprise quand j’ai vu la batterie à 100 % mais j’aurais bien voulu qu’on me prévienne plutôt pour ce téléphone la batterie ne tient pas longtemps et il chauffe assez rapidement et pour les accessoires un peu déçu",4,positif
14,Le fils de mon conjoint en est content,5,positif
15,Nickel reconditionné maisvtelephone nickel comme neuve,5,positif
16,Super rapide la livraison je recommande,5,positif
