id,texte,note,label
0,Le téléphone fait que s’allumer s’éteint tout seul seulement un mois d’achat après l’achat ???,2,négatif
1,Je reviens 6mois après l’avoir utilisé au début il y a eu un mini problème de caméra mais je l’ai retourné il me l’on réparer gratuitement et sinon il fonctionne très bien !! Je vous recommande sachant que c’est pas très chère pour un iPhone 14 le prix ! Foncez !!,5,positif
2,Je le prends en « parfait état » pour ne pas être embêter et finalement tout fonctionne à par la caméra avant qui fait tout flou… un peut dessus d’avoir payer plus chère pour au final avoir des soucis dessus.,4,positif
3,En très bonne état comme neuf .,4,positif
4,"Commande passée un vendredi à 18h, reçu le lundi suivant à 13h !! On dirait que le téléphone est neuf et batterie à 100% !!! Je recommande !!!!!",5,positif
5,"Je suis agréablement surprise par la qualité. Le téléphone est arrivé en parfait état, sans aucune rayure visible, et la batterie tient très bien la charge. Il fonctionne comme un neuf, mais pour un prix bien plus abordable. C’est une excellente alternative pour consommer de manière plus responsable tout en faisant des économies. Je recommande vivement !",5,positif
6,"Bien reçu le tel, pour l'instant il fonctionne bien. Merciii",5,positif
7,Arrivé dans les délais pour l instant fonctionne correctement à suivre,4,positif
8,Pour une première en achat reconditionné je suis plus que ravi,5,positif
9,"Produit répondant au descriptif et à mes attentes, batterie à 100%, téléphone en parfait état comme dans son annonce. Vendeur au top que je recommande et reçu dans les temps",5,positif
10,Produit non conforme à la description,1,négatif
11,Très bon rapport qualite/prix. Excellent etat,5,positif
12,Livraison assez rapide le téléphone est comme neuf rien à signaler merci,5,positif
13,Je suis tellement satisfaite de mon achat C'était un cadeau et la personne à kiffer Merci encore Cdiscount Je ne suis jamais déçu,5,positif
14,Très satisfait de mon achat,5,positif
15,"Très bon état, correspond à mes attentes",5,positif
16,Batterie qui perd 7% de sa capacité maximale en 2 mois ??quelle honte.J’exige un remboursement. Merci pour l’arnaque,1,négatif
17,Un bon produit pas cher bien renta,5,positif
18,J’ai acheté se téléphone il y a même pas 1 mois le Face ID ne me reconnaît plus je ne peux pas le désactiver. Je suis parti à iPhone on m’a dit que le téléphone avait beaucoup de problèmes franchement gardez votre argent,2,négatif
19,"Très satisfait, livrer aven la daté prévu merci beaucoup Cdiscount, je recommande.",5,positif
20,Entièrement satisfaite de mon achat,5,positif
21,Fonctionne parfaitement bien. Très bon rapport qualité/prix. Très belle couleur,5,positif
22,L’iPhone est parfait aucun problème,5,positif
23,Livraison avant la date. Merci C discount.,5,positif
24,la batterie est à 100% et le téléphone comme si il été neuf incroyable,5,positif
