id,texte,note,label
0,J'ai commandé mon iphone 8 la batterie et mort,1,négatif
1,Déçu par cet achat Bouton home défaillant Heureusement renvoyé et remboursé rapidement.,1,négatif
2,Acheter pour mon fils qui en est tte satisfait. Merci cdiscount ??,5,positif
3,Téléphone reçu rapidement état conforme à la description,5,positif
4,Acheter reconditionné mais excellent état Acheter en 2022 et marche toujours Rien à dire,5,positif
5,Je ne lavais pas trouvé performant mais ça va il est encore là avec mon fils,2,négatif
6,À fuir deux téléphone achetés deux téléphones HS,1,négatif
7,"Bon produit, fonctionne très bien Je recommande",4,positif
8,Très bien mon fils l'adore fonctionne bien rien à dire,5,positif
9,"Très bien, rien à signaler",5,positif
10,Vraiment bien je recommande,5,positif
11,Rien a dire content de mon achet jusqu'à aujourd'hui il fonctionne très bien,4,positif
12,Produit conforme à la description,5,positif
13,Téléphone conforme à la description. Je recommande.,5,positif
14,RAS téléphone reconditionné en excellent état et fonctionne très bien,5,positif
15,Téléphone parfait merci à vous.,5,positif
16,Rien a dire ses un I phone,5,positif
17,"iPhone 8 marche très bien, aucun problème pour le moment très satisfait de mon achat je recommande",5,positif
18,"Bonjour tout le monde c’est un téléphone excellent propre y’a rien à dire par rapport aux options et je le conseille à tout le monde surtout pour les petits je dirais 10/12 ans vu qu’ils ont des petites mains, trop bien",5,positif
19,Fonctionne très bien à voir avec le temps,4,positif
20,Parfait vendeur livraison tout parfait merci,5,positif
21,bonne calite et pas de probbeme,4,positif
22,fonctionne très bien et est en très bon état,4,positif
23,"Vendeur très réactif,il a remplacé mon téléphone très rapidement suite à un petit soucis sur le premier que j'avais acheté. Je le recommande vivement!!",5,positif
24,"Acheté en remplacement d’un même iPhone 8 qui lors du changement d’écran dysfonctionnait. Très satisfaite de ce téléphone. (Taille, fonctions, facilité d’utilisation)",5,positif
25,Conforme à mes attentes,5,positif
26,Je remercie le vendeur très bon téléphone Fonctionne parfaitement Reçu très rapidement Rien a ajouter Merci,5,positif
27,Le produit est top après il faut voir sur plusieurs mois la sa fait que quel que jours,5,positif
28,Superbe téléphone bonne qualité mais malheureusement se décharge un peu vite,4,positif
29,Satisfaite de ma commande,5,positif
30,Reçu avant la date avec double écran cache de protection super article,4,positif
31,Parfait Très contente de mon achat,5,positif
32,"Contrairement à certains commerçants qui utilisent la plateforme pour arnaquer les clients, ce commerçant a été réglo et a bien précisé que des appareils étaient reconditionnés. J'ai été très satisfait de notre transaction. Merci",4,positif
33,Très bon rapport qualité prix,5,positif
34,micro HS les produits ne sont pas vérifier avant les envoi. compliqué pour communiquer avec eux.,1,négatif
35,Appareil reçu en parfait état. Je remercie le vendeur et C Discount pour l'envoi rapide et bien emballé.,5,positif
36,Téléphone vraiment comme neuf vendeur très professionnel,4,positif
37,très bon matériel et très bon prix je ne regrette pas l'achat,5,positif
38,téléphone état NEUF !!!! aucune micro-rayure !!! Merche parfaitement MERCI,5,positif
39,comme neuve trés rapide en envoie a recommandé,5,positif
40,Excellent choix. Mon fils est très content. Merci cdiscount,5,positif
41,"Bon produit, rapport qualité prix parfait.",5,positif
42,Acheté pour mon fils de 10 ans pour sa rentrée en 6 eme . Parfait ! État impeccable pour un re conditionné .envoi très rapide .,5,positif
43,"le téléphone fonctionne sans problème, mais le chargeur a un problème de charge, et le fil est coupé , a l'intérieur du cordon, donc pour la charge il faut plier le fil. je dois racheter un chargeur, ce qui n'était pas prévu hélas.",5,positif
44,Reconditionnement parfait,5,positif
45,Juste l’état de la batterie n’est pas à 100% Mais très bon rapport qualité prix !,5,positif
46,Le produit est celui que j'attendais ni plus ni moins,5,positif
47,Très très déçu du produit,1,négatif
48,Bien comme neuf fonctionne bien,5,positif
49,"Rien à redire, téléphone reçu en parfait état, comme neuf, fonctionnel et de surcroît très beau ! Mon fils est content ! Merci pour la livraison rapide et soignée !!",5,positif
50,le gamin est content c est le principale,4,positif
51,"Acheté comme cadeau d'anniversaire pour mon frère, arrivé tout neuf comme si c'est Apple qui l'avait envoyé, mon frère adore son cadeau à voir dans le temps, merci beaucoup",5,positif
52,Expédition rapide et produit conforme à la description,5,positif
53,"Livraison rapide et dans les temps.iphone 8 en parfait état pour un reconditionné car aucunes rayures, batterie a 100/100.zucun défauts constatés.merci pour le professionnalisme du vendeur.je recommande vivement",5,positif
54,"A réception de l'Iphone, la batterie était à 85% de capacité, et se décharge à grande vitesse même sans utiliser ou avoir des applis consommatrices",1,négatif
55,État neuf le téléphone est impeccable !!,5,positif
56,ravie de mon achatipnoe reconditonné est un vrai bon choix entre écologie et performance,5,positif
57,"C'est un cadeau pour un de mes petits fils ,il était un peu septique parceque reconditionné mais résultat, il est enchanté....état impeccable, parfait",5,positif
58,"Très satisfaite, livraison extrêmement rapide. Bonne qualité satisfait de mon achat.",5,positif
59,Bon rapport qualité prix et je verrais à l’usage!,5,positif
60,"Nous avons reçu rapidement le téléphone destiné à mon fils. Il est conforme à la description, la batterie fonctionne bien. Il faut parfois un peu insister sur le clavier pour écrire, la sensibilité de l'écran tactile n'est pas toujours suffisante.",4,positif
61,Parfait .tres fonctionnelle et petit .,5,positif
62,iPhone est super état c’est le cadeau d’anniversaire de mon mari. Très content et très rapport qualité prix vraiment satisfaite de mon achat. Toujours contente et ravie de mes achats sur C DISCOUNT,5,positif
63,"Produit conforme à l’attente , livraison rapide",5,positif
64,"PRODUIT DEFECTUEUX NE DETECTANT PAS LA CARTE SIM, MALGRÉ PLUSIEURS TENTATIVES",1,négatif
65,Tres bon téléphone mais bon il se décharge trop vite a min gout mais sinon il est genial,5,positif
66,"Produit arrivé dans les temps, fonctionne très bien. Très satisfaite",5,positif
67,le téléphone fonctionne très très bien mon mari est content je le recommande,5,positif
68,Je le recommande pour le prix,5,positif
69,Excellent produit je recommande,5,positif
70,Mon fils et contente de sont portable fonctionne très bien,5,positif
71,Rien à redire. Tout est ok,5,positif
72,Panne a l achat Pas de microphone Reconditionné mais avec quel contrôle qualité derrière Bon de retour compliqué à obtenir,1,négatif
73,Mobile reçu en parfait état fonctionne très bien je recommande,5,positif
74,"Super téléphone, reconditionné mais comme neuf. Mis en service aujourd'hui, à voir à l'usage. Mais pour l'instant au top.",5,positif
75,"Reçu rapidement, très bien emballé, bon tel. Je recommande ce vendeur et ce télé&phone",5,positif
76,J’ai bien reçu l’iPhone avant Noël et je remercie le vendeur excellent j’ai rien à dire merci,5,positif
77,"Livré avec la protection écran, écouteur filaires et câbles+prise chargeur mauvaise surprise avec la batterie à 84% et non 100% comme indiqué par le vendeur. également rayures sur l'arrière. pour un parfait état, on en est loint.",3,neutre
78,"J'ai acheté cet iPhone 8 en janvier 2022: au début tout était parfait ! Autant en terme de packaging ( aucune rayures traces ou quoi que ce soit) , qu'en terme de fonctionnalité : batterie, applications, appareil photo... Au bout de 9 mois, le micro ne fonctionne plus; je me retouve avec un téléphone qui n'arrive pas à enregistrer de son pendant une vidéo ou lors de Visio ( Messenger, Whatsupp). Aujourd'hui je ne peux plus mettre mes appels en haut parleur, faire de videos ou des visios. Je ne vous parle pas de la batterie : elle affiche actuellement une capacité de batterie à 100% ( même état d'une batterie neuve), alors qu'à 80%, mon téléphone s'éteint d'un coup et impossible à rallumer sans l'avoir charger et ça plusieurs fois dans la semaine. Cela fait la deuxième fois que j'achète un téléphone reconditionné, PLUS JAMAIS DE MA VIE. La durée de vie de ce genre de téléphone ne dépasse pas les 2 ans.",1,négatif
79,"bien recu rapidement,tbe, a voir dans le temps,fonctionne tres bien",4,positif
80,Offert à mon fils il es très content . L’iPhone es vraiment en excellent état espérons que sa reste dans le temps .,5,positif
81,"Bonjour pour l'instant je n'ai pas la possibilité de pouvoir vous donnez un avis favorable étant donné que je l'ai encore offert,s'agissant d'un cadeau de Noël . je ne savais pas qu'il n'y avait pas le chargeur c'est bien dommage vu le prix",3,neutre
82,Déçue de mon achat je ne recommande absolument pas le reconditionné,1,négatif
83,"Excellent article , je recommande , il est bien reçu et très rapidement !",5,positif
84,iPhone reçu en excellent état après 1 mois d’utilisation l’écran ce décolle totalement après avoir essayer de le pousser un peux pour le remettre le temps de demander un renvoie l’écran c’est casser et voilà dans le baba cependant batterie nickel reçu avec 94% mais l’écran et de piètre qualité attention,2,négatif
85,Téléphone en bonne état comme neuf sans soucis,5,positif
86,RAS Bon portable à voir dans le temps Contente de mon achats,5,positif
