id,texte,note,label
0,Le téléphone est bien,4,positif
1,"La batterie se décharge vite , quand je reçois un SMS l icône "" enveloppe"" ne s' affiche pas , pas non plus de notification de SMS. Pas d'embout de chargeur pour brancher à la prise . Le bouton en bas est défaillant, du coup , il y en a un tactile qu il faut déplacer parcequ'il gène sur l' écran.",1,négatif
2,"Déçu , le téléphone n’est pas en excellent état",2,négatif
3,Ravi de voir que l'iPhone ne se charge plus correctement et que le téléphone est en capacité d'être sur 1% une démo journée entière.,2,négatif
4,Pas solide etc Tien pas la batterie,1,négatif
5,Je l’ai eu en novembre 2022 et il est toujours avec moi même tous les jours en plus il fonctionne très bien juste que j’ai dû changer la batterie ce mois-ci mais il est toujours avec moi et sa été mon gros coup de cœur,5,positif
6,Super encore en vie depuis 4 ans,5,positif
7,Je les achète pour un cadeau ma filleule était ravie super merci,5,positif
8,Ma fille est ravie. Même s'il se décharge assez vite...mais elle l'utilise beaucoup.,5,positif
9,Cadeau offert à ma fille qui est ravie et la depuis un moment. Aucun regret Conforme,5,positif
10,Ravis fonctionne très bien.,5,positif
11,"Je suis très content de mon téléphone, j’ai jamais eu de problème avec, malgré que ce soit un reconditionné",5,positif
12,"téléphone reçu entres bon état, quasiment neuf",5,positif
13,Super bien téléphone a la description du vendeur comme neuf,4,positif
14,Appareil conforme aux attentes. Il manque l’extracteur de carte.,5,positif
15,iPhone reconditionné fonctionne très très bien,4,positif
16,Parfait très bon produit bien reconditionné,5,positif
17,"Offert à ma fille, elle en est ravie",5,positif
18,"IPhone reçu rapidement mais présentait un petit problème au niveau du bouton Home . Après avoir échangé avec le vendeur , celui-ci m'a proposé de m'en envoyer un Nouveau et m'a transmis une étiquette pour le retour. je vais donc le réexpédier dès demain matin . Vendeur a été très réactif pour régler ce petit problème . J'attends donc le nouveau IPhone 8 pour redonner une meilleure évaluation mais je suis confiant pour la suite . je reviendrai donné mon avis quand j'aurai reçu mon nouvel IPhone",3,neutre
