id,texte,note,label
0,"téléphone en excellent état comme neuf, fonctionne parfaitement, je recommande fortement",5,positif
1,Le téléphone que j’ai acheté était black listé !,1,négatif
2,"Notifier comme excellent état mais la batterie est probablement défectueuse et le verre à l’arrière même très bien protéger a réussi à casser (surement d’origine) je n’ai pas eu de remise même si ont m’as proposé de l’échanger. (Ce que je n’ai pas fais car mon premier iPhone étant casser je ne pouvais plus m’en servir, puis surtout prix très raisonnable pour la qualité de l’appareil. ) Ça fais maintenant 3-4mois que je l’ai et malgré les désagrément il fonctionne toujours très bien malgré le problème de batterie persistant.",4,positif
3,"Très mauvaise expérience, plus jamais je n’achèterai chez ce vendeur!",1,négatif
4,"Mauvaise expérience, vendeur incompétent",1,négatif
5,"Ça fait même pas un mois et le téléphone ne marche plus correctement. Court Circuit, bugs recurrent etc ne commander grosse arnaque en plus il prenne mon argent",1,négatif
6,Produit reçu très rapidement et en parfait état !!!,5,positif
7,iPhone au bout de deux mois l’écran se décolle. SAV correct réponse rapide changement totale du téléphone sauf que la surprise sur le téléphone fraîchement remplacé compte bloqué car l’utilisateur précédent n’a pas été supprimer de cette appareil. Donc inutilisable ! Il est censé être reconditionné. Je suis très mécontente,1,négatif
8,"Très bon état, batterie OK. Je recommande ce vendeur.",5,positif
9,La qualité n'est pas bonne d'où le téléphone s'est cassé vite. J'ai vraiment regretté de l'avoir acheté,1,négatif
10,Livré rapidement et très bon téléphone,5,positif
11,"Un téléphone impeccable,par contre livraison exécrable,pas la bonne date ,et aucune information si j avais pas téléphone",5,positif
12,Excellent je recommande,5,positif
13,Super téléphone je recommande,5,positif
14,Super téléphone je recommande,5,positif
15,Bon produit Mais renvoi car déjà reçu par autre compagnie mais personnel très cordial,5,positif
16,telephone bloqué sur un compte inconu au comment de le restaurer juste inacceptable !,1,négatif
17,Très bien je vous le recommande ????,5,positif
18,comme neuf fonctionne super bien parfait,5,positif
19,Téléphone correct et propre,4,positif
20,Jaime boen le telopjobendjf,5,positif
21,Rien a dire bon téléphone juste pour l’instant tt se passe bien,5,positif
22,Je ne le reprendrai pas o bout d un mois il ne prenez plus la charge,2,négatif
23,Nikel pour le prix je recommande,5,positif
24,Arriver super vite et super bien emballé le téléphone je l’ai tester car c’est un cadeau d'anniversaire pour mon frère et l’écran du téléphone il a pas de fissure rien il et comme neuf. Et il fonctionne super bien je recommande chez vous Bravos !!!,5,positif
25,Bonjour beaucoup d'anomalie,1,négatif
26,Très bon produit je ne suis pas déçu,3,neutre
27,"Reconditionné parfaitement, comme neuf, tout fonctionne bien, écran lumineux, batterie à 91%, livré très rapidement avec une boîte complète avec chargeur, câble, extracteur, parfait, l'Iphone lui-même a juste des bordures un peu large ! ce qui enlève d'avoir en présentation un téléphone de qualité !",4,positif
28,Livraison rapide et le colis est en bon état. Produit conforme au descriptif. Contente de mon achat. Seul bémol il n y a que le fil du chargeur. Mais cela ne me dérange en rien. A voir si dans le temps le téléphone sera toujours aussi bien,5,positif
29,"Super utilisation et parfait état au début mais après une petite chute l'écran se strie et au bout de 3 il est complètement éteint, dommage !",3,neutre
30,"Le téléphone est comme tout neuf, mais les batterie ça tient pas bien elle est nulle",3,neutre
31,Téléphone marche très bien seul bémol il s’éteint parfois tout seul,4,positif
32,Comme la description. Parfait. Je recommande,4,positif
33,Tres content de mon achat . marche tres bien .Tres bon rapport qualité prix . emballage soigné,5,positif
34,Bon produit je conseil,5,positif
35,produit conforma a l'annonce. etat comme neuf annoncé sur le site. ecran nikel pas de rauture apparent. je recommande. batterie a 100%. espère que la batterie va tenir. CONFORMA 5/5,5,positif
36,Fonctionne très bien !!,5,positif
37,Bon rapport qualité prix,4,positif
38,"Trop bon achat, bonne qualité",5,positif
39,rapide soigner bon prduit,5,positif
40,"téléphone très résistant, batterie de longue durée, aucun soucis",5,positif
41,Je suis outré ! L’état de la batterie est à 82 % en gros comme mon ancien iPhone qui a 4 ans quoi ! Vraiment je suis dégoûté !,1,négatif
42,Vendeur rapide Iphone en excellent état mais face ID me marche pas meme apres toutes les mise a jour. Dommage,4,positif
43,Tout est ok bon achat,4,positif
44,iPhone reçu + une protection écran je suis très content.,5,positif
45,"Au top, parfait état comme neuf. Très satisfaite.",5,positif
46,Bonjour pour la livraison c'est rapide et pour le portable il est parfait merci beaucoup,5,positif
47,Parfait état neuf conforme à la description je recommande le vendeur,5,positif
48,"L’article est censé être comme neuf , visuellement très propre , sauf gros problème a l’objectif arrière qui saccade au moment de prendre une photo ou vidéo et bruit sur la vidéo , ainsi que pendant la charge du téléphone un bruit de grésillement anormal et de temps en temps l’utilisation sans être en charge.",1,négatif
49,Ce téléphone va très bien il est comme je l'espèrer on dirait un neuf,5,positif
50,Bonjour je vous recommande ce produit elle vraiment super,5,positif
51,Très bon produit rien à dire,5,positif
52,Heureux de constater que Cdiscount propose des produits reconditionnés en parfait état,5,positif
53,"Le son n’a jamais été bien je suis très très dessus il ne vaut absolument pas son prix Je regrette mon achat, je dois en acheter un autre poubelle",2,négatif
54,qualité prix satisfait,4,positif
55,J’ai reçu mon iPhone très vite et vous en remercie celui ci est d’apparence très propre pour un reconditionné le seul gros problème est le micro qui a lui n’est vraiment pas de bonne qualité j’utilise le téléphone pour des travaux musicaux mais je n’ai vraiment aucune satisfaction à la utiliser a cause de ce problème,2,négatif
