id,text_avis,note,label
0,texte,note,label
1,Bon produit mais au bout de 3 mois la batterie ne tient déjà plus.,3,neutre
2,"produit conforme au descriptif et en très bon état, aucun regret sauf que le chargeur n était pas fourni",5,positif
3,je vais en reprendre d autre dans 4 mois pour mes enfants je recommande ce vendeur,5,positif
4,"L’écran n’est pas reconnu, iMessage reste inactif (constaté par Apple) La batterie se vide très rapidement et l’appareil surchauffe.",1,négatif
5,très facile a appliquer,4,positif
6,"L'appareil surchauffe en utilisation, donc problème de batterie surement...",1,négatif
7,j'ai acheter ce téléphone en excellent état il est impeccable juste concernant les accessoire il n'y pas de chargeur que la coque. coque en bonne qualité je suis très satisfaite surtout que ce n'est pas cher pour ce que s'est ! je vous le conseille foncez !!,5,positif
8,"Je me pose la question de savoir si l'iPhone dit en ""excellent état"" n'était pas à la base défectueux, il chauffait rapidement et maintenant ne s'allume plus du tout. 2 semaines d'utilisation c'est peu, j'espère qu'il va être réparé ou changé !!! S'il vous plaît !!!!",1,négatif
9,"Je viens de le recevoir , maintenant j’attends avec la batterie mais pour l’instant je suis contente",4,positif
10,Fonctionne correctement pour le moment,4,positif
11,"Envoi rapide et soigné. Téléphone en excellent état, comme neuf",5,positif
12,Top satisfaite de mon achat,5,positif
13,"Apparence comme un tél neuf, livré avec le cable usb C, mais pas la prise. Après plusieurs mois d'utilisation, fonctionne bien, charge à 100% sans problème, mais quand il est posé à plat, le tactile ne fonctionne pas, je dois le relever, c'est peut-être la coque de protection que j'ai mise qui fait cela. Sinon j'en suis très contente.",4,positif
14,"Très bon état, reçu rapidement et avec une très bonne fonctionnalité, batterie à 100 %.",5,positif
15,"Après quelques jours de prise en main, je suis très satisfaite du téléphone. Seul regret, pas de chargeur, juste le téléphone. Mais contente de mon achat.",5,positif
16,"Je suis contente de mon achat que j’ai fait ici , le téléphone convient la description, en parfait état ??",5,positif
17,L’iPhone 12 que je viens d’acheter ça date de 1mois et demi maintenant très fonctionnel mais avec un défaut la capacité de la batterie qui passe à 100% à 90% en 1 mois seulement,4,positif
18,"En prenant du reconditionné, on pense faire des économies et c’est ce que l’on fait. Cependant les pièces changées ne sont pas des Apple, l’écran par exemple a des reflets violets, l’armature du téléphone n’est pas non plus une Apple. Je n’ose même pas imaginer la batterie (qui est d’ailleurs à 97% de ses capacités 3 semaines après achat… ce qui conforte mon idée que ce ne soit pas Apple non plus. Finalement, un reconditionné Apple qui ne l’est plus forcément au vu des pièces changées",3,neutre
19,"Très bon achat, il fonctionne très très bien, état impeccable pas de rayure, et batterie de très bonne autonomie",5,positif
20,Parfait en excellent état ??,5,positif
21,Ça fait maintenant 4 mois que j’ai l’iPhone et il fonctionne toujours super bien,5,positif
22,Ma fille est super contente de son i phone,5,positif
23,"J’ai reçu le téléphone en très bon état, seul bémol la capacité de batterie est très vite descendue",4,positif
24,Contente de mon achat même si c'est un reconditionné,5,positif
25,Livraison avance Très bon état Mais un point négatif pas de câble....,4,positif
26,"Rapport qualité prix ? très bon état, je recommande",5,positif
27,L’écran et arriver avec un point bizarre dessus et une barre qui ne se voit pas quand l’écran est allumer.,2,négatif
28,"Fonctionne bien, état correspondant à la description",4,positif
29,J'ai commandé un iphone 12 pour le Noël de mon fils. En mars le bouton latéral est resté bloqué enfoncé. J'ai emmené mon téléphone dans un apple store pour réparer ce bouton et sur place le vendeur a refusé de nous réparer notre téléphone car le numéro IMEI été celui d'un autre model. Le mien est blanc alors que le numéro de IMEI est pour un téléphone bleu. Le vendeur nous a dit que notre téléphone avait été complétement modifié. Bref très mauvaise expérience.,1,négatif
30,J ai beaucoup aimé que le verre trempé soit déjà mis,4,positif
31,Au bout de 10 jours la capacité maximum de la batterie est descendu a 96% alors que il n'a presque pas été utilisé. Au bout de 12 jours le téléphone s'est complètement éteint.,1,négatif
32,"Alors produit reçu conforme ok . Mais par contre écrans changer et c’est écrit écran inconnue , téléphone qui surchauffe pour rien en plus que les iPhone 12 on eu des problèmes de batterie qui explose assez souvent je demande au vendeur un petit geste . Non impossible .",1,négatif
33,Évite acheter ce iPhone 12 chez ce vendeur,1,négatif
34,Comme neuf sortie de chez Apple. Vendu avec chargeur neuf en plus de ça.,5,positif
35,"Très bon qualité, j’ai reçu l’iphone comme neuf Je recommande fortement.",5,positif
36,J’ai déjà l’était de la batterie à 80 pour-cent et l’ai reçu avec une fissure derrière il est tomber une fois et ca à complètement fissuré le derrière du telephone. il surchauffe tellement que ca a bomber le derrière du téléphone. Je recommande absolument pas et je suis dégoûter de l’avoir acheter.,1,négatif
37,top pour du reconditionné batterie a 100% agréablement surprise je recommande,5,positif
38,Franchement déçu ? et pourtant le téléphone fonctionnait bien au début mais la c'est HS.,1,négatif
39,Envoi rapide et produit correct.,5,positif
40,"Le téléphone sa fait seulement 4mois que ma fille la, on s’aperçoit que l’écran se décolle du bas mais au final sa ne viens pas de l’écran ces la batterie qui a gonfler heureusement qu’on s’en est aperçu parce que la batterie aurai pu exploser dans les mains de ma fille et avec des conséquences grave ces inadmissibles, je vais contacter le service client. Je viendrais en dire plus",1,négatif
41,J’ai même eu droit à un carton + câble de charge,5,positif
42,"super iPhone , très joli, état impeccable ainsi que la fonctionnalité . je suis ravi de mon achat et je le recommande",5,positif
43,iPhone impeccable reçu en rien de temps,5,positif
44,Ecxellent produit Batterie top etat comme neuf,5,positif
45,Le téléphone ne marchait plus au bout de quelques semaines a peine mais le vendeur a été réactif et nous en a renvoyé un certes un peu moins cher à la base mais même modèle donc rien à dire juste une histoire de couleur qui fait la différence de prix.,1,négatif
46,Reçu vite merci Fonctionnement très bien merci à vous,5,positif
47,"Que des bugs, cassé, je regrette cet achat il a pasé plus de temps en réparation que dans mes mains....",1,négatif
48,Tout semble être correct appart la batterie qui est à 86% de capacité,5,positif
49,"Un bon téléphone reconditionné, très bien, je m'attendais à ce que la batterie se decharge rapidement mais non, franchement je recommande.",4,positif
50,"Iphone 12 acheté en novembre 2024 reçu en excellant état, état de santé de la batterie 100% mais au bout de quelques semaines, la batterie est à 91%, ce qui veut dire que la batterie n'est pas originale bas de gamme.la capacité de la batterie est diminuée de par contre il y a plusieurs mois j'ai acheté un 12 PRO MAX vendu par Cdiscount et jusqu'à maintenant l'état de santé de la batterie est 100%( MERCI CDISCOUNT).",3,neutre
51,Produit parfait au meilleur prix !,5,positif
52,l'etat de l'article est impeccable,5,positif
53,"J'ai commandé cet iphone12, impossible de faire les réglages très mal reconditionné. On n'a jamais pu le prendre en main, il restait des paramètres et des messages dans l'appareil. Par contre merci à cdiscount, et le vendeur j'ai été remboursé sans problème. Du positif dans le négatif",1,négatif
54,Bon téléphone fonctionne bien un peu cher pour un reconditionné mais excellent matériel satisfait merci,4,positif
55,LA BATTRE NE DUR PAS LOGNTEMPS,2,négatif
56,Convient à mes attentes,4,positif
57,"De la pure m3.rde nul nul nul, batterie qui passe de 96% à 50% en 4 mois (en ayant une utilisation normale) et arrière du portable qui se brise même avec coque! Ce portable est sensible comme une feuille!",1,négatif
58,"Très bon produit reçu comme neuf, fonctionne très bien",5,positif
59,Ma fille en est très contente .,5,positif
60,Bon produit avec batterie neuf qui tiens parfaitement pour le moment !,5,positif
61,Parfait rien n’a dire je recommande,5,positif
62,Le téléphone est on parfaite état à part le bouton silencieux qui marche pas très bien si non rien à dire,4,positif
63,Le téléphone était nickel sans aucun problème !,5,positif
64,"Comme neuf,super portable",5,positif
65,"Produit correct. La batterie tient bien, les photos claire. Seul problème chargeur ne fonctionne plus après 2 semaines d’utilisation",5,positif
66,Le telephone n’a pas tenu un ans Elle c’est fissuré malgré la protection a l’avant et à l’arrière du téléphone Là elle ne s’allume même plus Je suis déçu,1,négatif
67,"Franchement, on ne dirait jamais que c'est de l'occasion.",5,positif
68,"- écran parfait sans aucune rayure - coque parfaite Pour le moment rien à redire, il fonctionne parfaitement bien . C’est un très bon produit",5,positif
69,Vraiment déçu écran paas d’origine zéro,1,négatif
70,"Bonjour, L’iPhone reçu est dans un parfait état. Cependant, après 1 mois d’utilisation la vitre arrière se brise toute seule sans chocs. Je suis à mon deuxième achat et c’est un problème connu des iPhone 12 reconditionné. Je ne partirai plus sur du reconditionné.",1,négatif
71,Article hs au bout de 2 semaines d'utilisation cela sans avoir subit de choc! Site à fuir. Dommage de ne pouvoir donner 0 étoile!,1,négatif
72,"Au début tout allait très bien mais au bout de quelques mois, la batterie était tellement gonflée qu'elle a failli exploser, beaucoup de bugs....",2,négatif
73,"envoi rapide, il marche parfaitement je recommande",5,positif
74,Livraisons de commande c très rapide et sécurisée,4,positif
75,Prix / Équipement sans aucun défaut / Délai d'envoi / Emballage et transport - Parfait,5,positif
76,Ras pour l’instant fonctionne bien et très jolie,5,positif
77,Ma batterie est déjà à 80% au bout de 1 mois,2,négatif
78,Ma fille a utilisé 3 semaines son téléphone et l’écran est devenu noir. Il n’est plus utilisable alors qu’il était reconditionne « en excellent état ». En attente d’une réponse du vendeur.,1,négatif
79,"pas chéré, comme neuf, j'en suis ravis",5,positif
80,"Livraison rapide ok. Une semaine après réception les photos étaient floues et l’objectif grésillait. Le vendeur demande de renvoyer l’appareil mais sans en avoir de secours et devoir réinitialiser l’appareil et perdre toutes les données, j’ai préféré le faire réparer moi même. Cela m’a couté 60e supplémentaires. Le réparateur dit que les iPhone 12 sont très fragiles…",2,négatif
81,Mon téléphone a arrêté de fonctionner au bout de 3 semaine,1,négatif
82,"Plus jamais ! Pas de connections wifi, l’écran n’est pas reconnu. Extrêmement déçue",1,négatif
83,Génial super cadeau de Noël,5,positif
84,"Très satisfaite de mon achat , ma fille est ravie le portable fonctionne très bien la mémoire est parfaite ,le téléphone tiens bien la charge 'autonomie de la batterie longue) je recommande , seul bémol il manque le chargeur dans la boite.",5,positif
85,Envoi rapide soigné et correspond totalement t à la description,5,positif
86,"Reçu comme prévu mais ce n’est pas ça qui vous intéresse ;) Je suis hyper contente pour le moment .. Le téléphone est comme neuf c’est vraiment à s’y méprendre, aucune rayure. Capacité de la batterie 100%, pour le moment tient très bien la charge ! Vraiment rien à dire de négatif. Maintenant à voir dans le temps. Très bien emballé et protégé et livré avec un câble",5,positif
87,"Le téléphone est reçu rapidement dans un très très bon état, l’état de la batterie est à 100% et aucun bug a signaler !!! Je suis très satisfait",5,positif
88,j’aime bien le téléphone,5,positif
89,Le téléphone est bien mais il se décharge vite et il se chauffe la batterie est à 80%mais après ça il fonctionne bien,4,positif
90,Beau téléphone après ça reste du reconditionner..jai mis le prix pour 1coque rhinoshield..le tel à taper a peine !!le derrière est déjà cassé super fragile..plus qu'à renvoyer car cette fois j'ai pris 1garantis,4,positif
91,"J'ai acheté cet iPhone 12 reconditionné ""en parfait état"" ; malheureusement, le niveau de batterie descend très rapidement : 50% après 1h d'utilisation seulement... Bref ce nest clairement pas au niveau ! C'est vraiment abusif de la part de CDiscount de revendre ce type d'équipement avec un libellé ""parfait état"" alors que la batterie est clairement défaillante ! Je souhaite un dédommagement.",1,négatif
92,Il est comme neuf vraiment pas cher !,5,positif
93,Nickel reçus 100% l’état de la batterie fonctionne très bien pas de bug pas de bloc pour le chargeur type C obliger d’acheter un cube type c mais charge encore plus vite que un usb,5,positif
94,"Excellent état pour cet iphone. Pas une égratignure, accroc ou quoi que ce soit d'autre, on aurait dit un neuf. Je recommande ce vendeur",5,positif
95,Reçus12/12/2024 avec 88 pour-cent de capacité sur la batterie et problème de Face ID renvoyer le 13/12/2024 après 1 jour d’utilisation. Décevant pour un produit qualifié de excellent état,2,négatif
96,"Nous avons reçu ce téléphone an WLAN, impossible de se mettre en wifi, ou d'ouvrir certaines applications. Aprés avoir pris des renseignements ce téléphone vient de l'étranger et peut bloqué certain application. Cela devrait peut etre etre préciser. Nous allons le renvoyer. Une jeune fille déçue le jour de Noél.",1,négatif
97,Ecran non Apple. Batterie non Apple . Ne reconnais pas la SIM Hors d usage,1,négatif
98,En allumant le téléphone il demande un code mais sa peut être quoi ???,1,négatif
99,"Achat reçu rapidement, petit problème sur une fonctionnalité, retourne au vendeur reparation prise en charge et frais d’envoi remboursé. Je suis satisfaite de mon achat. Et le vendeur est serieux. Je peux me permettre de recommander ce vendeur",5,positif
100,"Service client parfait. J’ai eu un souci avec le téléphone au bout de 3 mois, le reconditionneur m’en a renvoyé un autre.",5,positif
101,"Dès que j'ai allumé le téléphone, l'écran est non identifié produit Apple (pièce non reconnue). De plus la caméra frontale est très floue, et donc inexploitable. Très déçue de cet achat",1,négatif
102,"Niveau rapport qualité prix excellent, j’ai rien à dire, il fonctionne très très bien, je l’ai reçu en deux jours. Franchement, je recommande Je ne savais pas que le chargeur allait être fourni avec Grande surprise il charge très très bien",5,positif
103,Parfait mais attention problème son est j avais renvoyer l'article,3,neutre
104,Le téléphone est arrivé propre comme neuf je recommande le vendeur pour le moment mon fils n’a signalé aucun problème le téléphone fonctionne très bien,5,positif
105,"Super état, je recommande",5,positif
106,"Envoie rapide, produit conforme, rien a reprocher.",5,positif
107,"Commandé vendredi reçu samedi . Apparrei quasi neuf , pas de probleme ecran impeccable , batterie neuve marche trés bien .",5,positif
108,Très bel i phone état excellent merci,5,positif
109,"Conforme à la commande, comme neuf et parfaitement opérationnel",5,positif
110,"Je mets trois étoiles sur la performance car je ne l'ai que depuis quelques heures,sinon dans un excellent état,je l'ai de suite protéger,donc à voir sur le long terme,il m'a l'air comme neuf ,la batterie est à 100%le faceID marche nickel ,aucuns pets sur l'extérieur ni rayures ,ayant vu certains commentaires négatifs ça m'étonne un peu en tout cas je suis content de mon achat et ça me changera d'androïd.",4,positif
111,Je vous m’en pas. Qu’au début j’avais peur qu’il n’y est pas le téléphone ou qu’il le marche pas ou qu’il soit cassé mais non rien n’a voir il est nickel je suis même choqué j’espère que sa va durée je recommande ?,4,positif
