id,texte,note,label
0,Conforme. À voir à l'utilisation dans le temps.,5,3
1,Produit non conforme à la description. Écran LCD avec de gros problèmes de tactile que j’ai dû remplacer et modèle importé des États Unis et qui n’est donc pas CE. Cette information n’était pas présente sur le site.,1,1
2,iphone en lui meme parfait etat comme neuf batterie 100 mais pas de chargeur de cable rien telephone seul,2,1
3,"Reçu sans aucun soucis au bout d'une semaine l'écran avant se décollait, la batterie a perdu plus de 20% de sa capacité ne parlons même pas de la surchauffe du téléphone... Déçu...",2,1
4,Je suis contente de mon achat sauf que la batterie ne va pas plus que 93% et donc déçu. Je le met en charge et il met du temps à monter.,3,2
5,"Très bon téléphone, performant.",5,3
6,"Le téléphone était impeccable, aucune rayure, batterie à 93 %, donc je trouve ça vraiment très bien pour un reconditionné, seul problème, le flash ne fonctionne pas.",4,3
7,"le téléphone est très bien , juste manque les accessoires comme écouteurs , prise de courant",5,3
8,"super rien a dire, je recommande",5,3
9,"J’ai testé pour une première fois l’achat reconditionné pour un iPhone 13… J’ai choisi un modèle en très bon état et au final… il est comme neuf, le tout pour un prix très compétitif !",5,3
10,Au bout de 4 mois la carte mère est HS ??,1,1
11,iPhone 13 mini en excellent état comme dit dans la description pas de problème avec l’écran .,5,3
12,"Bonjour Certaines informations comme la provenance de la batterie de mon iPhone que j’ai commandé ne sont pas fournies, d’ailleurs j’ai des doutes sur mon iPhone car la batterie affiche 100% de capacité maximum mais il ne tient même pas une journée. Cdt",3,2
13,Pas conforme à la description produit qui fonctionne mal,1,1
14,Plus petit que l’iPhone 7 ???,4,3
15,Relativement déçue car je l’ai acheté en Janvier 2025 il été à 100% de capacité.. nous sommes le 25 Mars 2025.. il est déjà à 88% de capacité en batterie sachant que je le charge correctement.. Reçu avec boîte et câble.,3,2
16,JE RECOMMANDE SMARTPHONE RECONDITIONNER . SATISFAIT,5,3
17,"Le portable est bien arrivé, aucun défaut et la vie de la batterie est très bien. Merci encore !",5,3
18,"Le téléphone est en état comme neuf. Envoi très rapide. Je ne peux pas me prononcer sur la durabilité de la batterie, mais en tout cas très bon rapport qualité prix.",5,3
19,"Meilleur téléphone que j’ai reçu, aucune trace d’usure comme neuf, très bien emballé et protégé livraison rapide. Dans une boîte avec chargeur et coque offerte. Le téléphone fonctionne nickel avec batterie à 100%. Je trouve juste que la batterie s’utilise un peu vite mais je pense que c’est normal vu que c’est un iphone mini. Niveau qualité prix je recommande vivement",5,3
20,"IPhone reçu rapidement. Téléphone super propre. Batterie 100% d’après les paramètres iPhone, écran oled (je pense que il et d’origine vue la qualité de l’écran) prix ont ne trouve pas mieux. Quoi dire de plus a par merci et foncer les yeux fermés !!! Je ferait une update dans les mois qui suivent mais pour le moment c’est parfait ?",4,3
21,"Bien pour le prix, pas eu de coque ni vitre de protection.",5,3
22,"Produit reçu état neuf , batterie à 100% avec une protection d’écran en verre trempé ..!! Si la boîte avait été une boîte originale Apple j’aurais pensé qu’il venait du site. Je recommande fortement ce vendeur",5,3
23,Parfait et très bon achats merci à toutes l’équipe,5,3
24,Produits de bonne qualité,4,3
25,On ne m’a pas donné l’adaptateur du chargeur on m’a donné juste le fil.,5,3
26,"Je l’ai acheté car il était a un prix abordable pour un iPhone 13 mini. Je l’utilise depuis déjà un petit moment et tout est parfait ! L’écran, la coque arrière, IOS.. tout fonctionne parfaitement et de plus il est arrivé ne moins de 1 jour, je recommande fortement.",5,3
27,Ne fonctionne plus au bout de 3mois,1,1
28,"Batterie soit disant à 100% de ces capacités. 2 semaines d utilisation je le charge tous les jours. Chargé à 10h à 100%, pas d’utilisation avant 13h. J ai perdu 13% sans rien faire. NIQUEL",1,1
29,"Téléphone reçu il a fonctionné une journée, batterie reconnue comme inconnue et non conforme au téléphone ! A fuir absolument, escro !!!",1,1
30,Vendeur sérieux aucun souci fonctionne très bien envoie rapides,5,3
31,J’avais peur avec les avis mais c bon,5,3
32,Niveau rapport qualité prix rien à dire au top livraison convenable cependant j’ai payer la livraison expresse pour qu’elle viennent après c’est rien aucun soucis pour ça cependant le téléphone au début et très bien le niveau de batterie était à 100% a tenue 1 jour puis depuis est a 89% le téléphone chauffe beaucoup c’est décollage car c’est un très bon téléphone dans la globalité,2,1
33,"Certes le telephone n'etait pas trop cher car reconditionné. Par contre, le haut parleur ne focntionne que en mode ""haut parleur"" Bref, deception a nouveau. Tarvail mal realisé chez le reconditionneur",2,1
34,Le téléphone est bien en bon état sauf l’appareil photo qui ne fait pas de mise au point à moins de 20cm d’un objet. Impossible de prendre par exemple une fleur ou un document etc. Vraiment pas top surtout que j’ai acheter ce modèle pour les photos et vidéo,1,1
35,Livré avec une coque on dirait un neuf pour l instant il fonctionne très bien à voir dans le temps il manquait juste la prise du cordon,4,3
36,Bonjour au bout de 1 mois le bouton latéral ne fonctionne plus,1,1
37,"Bonjour, Le téléphone il a l’air tout neuf. J’ai même reçu une coque de protection Et un chargeur rapide Avec 100% de batterie. Pour le moment tout va bien Je ferais un update de l’utilisation du téléphone. Dommage je n’ai pas pris en photo le téléphone quand je l’ai reçu.",5,3
38,Il fonctionne super bien,5,3
39,"Vous devriez préciser que la TVA n'est pas récupérable, si je l'avais su, je ne l'aurais pas acheté...",4,3
40,"J’ai reçu mon iPhone 13 en super état avec une coque et un écran de protection, batterie à 100 %, il est vraiment comme neuf. Merci à Hassen.",5,3
41,"iPhone 13 mini en parfait état (fonctionnement et physique après vérification). Fourni dans une boite en carton sous blister avec tous ses accessoires. Fourni également avec une coque + protège écran pré-installé. Attention, le modèle livré ne possède pas de E-SIM pour ma part, ce qui est un peu dommage. Je recommande ce vendeur sans hésiter !!",4,3
42,Le batterie se décharge très rapidement. Aussi le téléphone se casse très facilement mais sinon dans l’ensemble ça va,4,3
43,Rien à signaler… ça fonctionne très bien ?,4,3
44,"Tel reçu dans les temps, 100% de batterie, très bon Vendeur je recommande.",5,3
45,Bien ..........ras....,4,3
46,"Réellement On croirait qu’il est neuf très Bien reconditionné, je suis choqué Très satisfaite",5,3
47,"Je recommande, envoi rapide, le téléphone est propre, batterie 100% et petit plus une coque en cadeau",5,3
48,"Batterie à 100%, on verra bien avec le temps. Pas une seule rayure il est nickel !",5,3
49,"Merci au vendeur, très content de mon achat colis reçu en 24h le téléphone est impeccable , pas une rayures batterie a 100% merci pour la coque de protection offerte . je recommande sans hésiter ce vendeur. Pour ce qui hésite a délaisser leur iPhone gros iPhone XR comme moi pour ce modèle , un conseil allez y vous aller pas regretter ;-)",5,3
50,produit conforme de très bon reconditionnement,5,3
51,au vue des témoignages j'étais un peu septique mais avec une grande surprise le téléphone est nickel je vous l'assure,5,3
52,C’est un très bon téléphone.le prix est très bas par rapport au performance proposé je recommande,4,3
53,"Le téléphone est fonctionner très bien et la batterie est à 100 pour 100, la livraison ça été très rapide je suis satisfait merci.",5,3
54,"Très heureuse cet achat. Iphone en Excellent état, on dirait un neuf. Par contre , Come c'est une reconditionné, je ne sais pas s'il résiste à l'eau... Si quelqu'un peut m'orienter sur cette question ?",5,3
